MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2012-09-12,GUATEMALA,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2012-09-19,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2012-09-26,GUATEMALA,T,KBFI,KIWA,20,1,0.0,0.0,6.0,30.0
2012-10-03,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,0.0,0.0
2012-10-11,GUATEMALA,T,KBFI,KIWA,5,1,0.0,0.0,4.0,80.0
2012-10-24,GUATEMALA,T,KBFI,KIWA,22,1,0.0,0.0,17.0,77.27272727272727
2012-10-31,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,13.0,86.66666666666667
2012-11-14,GUATEMALA,T,KBFI,KIWA,7,1,0.0,0.0,4.0,57.14285714285714
2012-11-21,GUATEMALA,T,KBFI,KIWA,8,1,0.0,0.0,5.0,62.5
2012-12-05,GUATEMALA,T,KBFI,KELP,3,1,0.0,0.0,3.0,100.0
2012-12-05,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2012-12-12,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,0.0,0.0
2012-12-19,GUATEMALA,T,KBFI,KELP,16,1,0.0,0.0,13.0,81.25
2013-01-02,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,3.0,50.0
2013-01-21,GUATEMALA,T,KBFI,KIWA,15,1,0.0,0.0,7.0,46.666666666666664
2013-01-23,GUATEMALA,T,KBFI,KIWA,18,1,0.0,0.0,17.0,94.44444444444444
2013-01-30,GUATEMALA,T,KBFI,KELP,4,1,0.0,0.0,4.0,100.0
2013-01-30,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,1.0,16.666666666666664
2013-02-13,GUATEMALA,T,KBFI,KELP,32,1,0.0,0.0,24.0,75.0
2013-02-27,GUATEMALA,T,KBFI,KELP,30,1,0.0,0.0,30.0,100.0
2013-02-27,GUATEMALA,T,KBFI,KIWA,34,1,0.0,0.0,34.0,100.0
2013-03-13,GUATEMALA,T,KBFI,KIWA,23,1,0.0,0.0,21.0,91.30434782608695
2013-03-27,GUATEMALA,T,KBFI,KIWA,31,1,0.0,0.0,28.0,90.32258064516128
2013-04-03,GUATEMALA,T,KBFI,KIWA,16,1,0.0,0.0,15.0,93.75
2013-04-10,GUATEMALA,T,KBFI,KIWA,2,1,0.0,0.0,2.0,100.0
2013-04-22,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,10.0,100.0
2013-04-29,GUATEMALA,T,KBFI,KIWA,21,1,0.0,0.0,20.0,95.23809523809523
2013-05-06,GUATEMALA,T,KBFI,KIWA,9,1,0.0,0.0,7.0,77.77777777777779
2013-05-20,GUATEMALA,T,KBFI,KIWA,10,1,0.0,0.0,9.0,90.0
2013-05-27,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,3.0,50.0
2013-06-03,GUATEMALA,T,KBFI,KIWA,4,1,0.0,0.0,2.0,50.0
2013-06-10,GUATEMALA,T,KBFI,KIWA,6,1,0.0,0.0,3.0,50.0
2013-06-17,GUATEMALA,T,KBFI,KIWA,3,1,0.0,0.0,1.0,33.33333333333333
2013-06-24,GUATEMALA,T,KBFI,KIWA,17,1,0.0,0.0,13.0,76.47058823529412
2013-07-15,GUATEMALA,T,KBFI,KIWA,30,1,0.0,0.0,23.0,76.66666666666667
2013-07-22,GUATEMALA,T,KBFI,KIWA,8,1,0.0,0.0,7.0,87.5
2013-08-05,GUATEMALA,T,KBFI,KIWA,20,1,0.0,0.0,16.0,80.0
