,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Airport Location,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Removals,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Transfers,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Pickups,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Dropoffs,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Pickup Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Dropoff Missions,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total,Annual Total
,Airport Name,City,State,Country,Latitude,Longitude,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
Airport Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKYS,Yaoundé Nsimalen International Airport,Nsimalen,,Cameroon,3.7225,11.553333,,1.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.0,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,1.0,0.0,7.0,,,,
FLKK,Kenneth Kaunda International/Lusaka Airport,Lusaka,,Zambia,-15.331667,28.434167,,,,,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,4.0,,,,,,,,,,,,,1.0,0.0,0.0,3.0,,,,,2.0,0.0,0.0,4.0
FOOL,Libreville International Airport,Libreville,,Gabon,0.458,9.412,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,
FTTJ,N'Djamena International Airport,N'Djamena,,Chad,12.134,15.034,,,,,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,,2.0,0.0,0.0,2.0
FVHA,Harare International Airport,Harare,,Zimbabwe,-17.932000000000006,31.093000000000004,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,2.0
FWKI,Lilongwe - Kamuzu International Airport,Lilongwe,,Malawi,-13.789167,33.780833,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,
FYWH,Hosea Kutako International Airport,,,Namibia,-22.486667,17.4625,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0
FZAA,Ndjili International Airport,Kinshasa,,Democratic Republic of Congo,-4.386,15.444,,2.0,0.0,0.0,0.0,3.0,0.0,9.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,3.0,0.0,9.0,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,2.0,0.0,0.0,0.0,3.0,0.0,9.0
GABS,Senou Airport,Bamako,,Mali,12.533,-7.95,,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,9.0
GBYD,Banjul International Airport,Banjul,,Gambia,13.338,-16.652,,,,,,,4.0,40.0,,,,,,,,,,,,,,,,,,,,,,,4.0,40.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,4.0,40.0
GFLL,Lungi International Airport,Freetown,,Sierra Leone,8.616,-13.195,,,,,,,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,7.0,12.0
GLRB,Roberts International Airport,Monrovia,,Liberia,6.234,-10.362,16.0,0.0,0.0,0.0,0.0,0.0,62.0,52.0,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,0.0,0.0,62.0,52.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,62.0,52.0
GMMN,Mohammed V International Airport,Casablanca,,Morocco,33.368,-7.587999999999999,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
GOOY,Léopold Sédar Senghor International Airport,Dakar,,Senegal,14.739,-17.49,,,,,,,147.0,43.0,,,,,,,,,,,,,,,,,,,,,,,147.0,43.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,147.0,43.0
GQNO,Nouakchott-Oumtounsy International Airport,Nouakchott,,Mauritania,18.31,-15.969722,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,3.0,7.0
GUCY,Conakry Airport,Conakry,,Guinea,9.576889,-13.611961,,3.0,0.0,0.0,0.0,8.0,37.0,128.0,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,8.0,37.0,128.0,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,2.0,3.0,,3.0,0.0,0.0,0.0,8.0,37.0,128.0
GVAC,Amílcar Cabral International Airport,Sal,,Cape Verde,16.741,-22.949,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,
GVNP,Praia International Airport,Praia,,Cape Verde,14.9242,-23.4939,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0
HAAB,Addis Ababa Bole International Airport,Addis Ababa,,Ethiopia,8.977,38.8,,1.0,0.0,0.0,1.0,4.0,0.0,3.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,4.0,0.0,3.0,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,4.0,0.0,3.0
HBBA,Bujumbura International Airport,,,Burundi,-3.324,29.318,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0
HCMM,Aden Adde International Airport,Mogadishu,,Somalia,2.014,45.305,,,,,,,342.0,153.0,,,,,,,,,,,,,,,,,,,,,,,342.0,153.0,,,,,,,,,,,,,,,5.0,2.0,,,,,,,342.0,153.0
HECA,Cairo International Airport,Cairo,,Egypt,30.122,31.406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
HKJK,Jomo Kenyatta International Airport,Nairobi,,Kenya,-1.318611,36.925833,2.0,13.0,10.0,6.0,6.0,0.0,18.0,32.0,,,,,,,,,,,,,,,,,2.0,13.0,10.0,6.0,6.0,0.0,18.0,32.0,,,,,,,,,1.0,2.0,1.0,1.0,2.0,0.0,5.0,2.0,2.0,13.0,10.0,6.0,6.0,0.0,18.0,32.0
HRYR,Kigali International Airport,Kigali,,Rwanda,-1.969,30.139,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,1.0,,
HSSJ,Juba Airport,Juba,,South Sudan,4.872,31.601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
HSSS,Khartoum International Airport,Khartoum,,Sudan,15.589,32.553000000000004,,,,,2.0,0.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6.0,9.0,,,,,,,,,,,,,1.0,0.0,1.0,2.0,,,,,2.0,0.0,6.0,9.0
HTDA,Julius Nyerere International Airport,Dar es Salaam,,Tanzania,-6.877999999999999,39.203,,,,,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,5.0,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,5.0
HUEN,Entebbe International Airport,Entebbe,,Uganda,0.042,32.443000000000005,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
KABI,Abilene Regional Airport,Abilene,TX,USA,32.411,-99.682,,,,,,,,,368.0,,,,,,,,,,,,,,,,368.0,,,,,,,,,,,,,,,,8.0,,,,,,,,368.0,,,,,,,
