calendar_year,monthly_mean_dropoff_missions,monthly_mean_dropoffs,monthly_mean_pickup_missions,monthly_mean_pickups
2010,4.0,39.333333333333336,7.666666666666667,512.6666666666666
2011,4.416666666666667,59.0,8.333333333333334,544.1666666666666
2012,3.9166666666666665,115.41666666666667,4.833333333333333,450.1666666666667
2013,3.1666666666666665,165.25,4.083333333333333,383.5833333333333
2014,3.8333333333333335,161.91666666666666,3.9166666666666665,300.0
2015,3.1666666666666665,209.0,2.8333333333333335,237.66666666666666
2016,4.166666666666667,231.5,4.5,264.8333333333333
2017,3.5,120.91666666666667,4.25,288.5
2018,3.75,193.08333333333334,4.166666666666667,273.1666666666667
