,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
MMMX,"{'AirportName': 'Licenciado Benito Juarez International Airport', 'LatitudeDecimalDegrees': 19.436, 'LongitudeDecimalDegrees': -99.072}",1031.13,7.87,,,100.0,85584,0.0,653,85584,0,0,85584,0
MNMG,"{'AirportName': 'Augusto C. Sandino (Managua) International Airport', 'LatitudeDecimalDegrees': 12.140999999999998, 'LongitudeDecimalDegrees': -86.16799999999998}",82.18,1.84,,,99.99,8054,0.01,180,8054,0,0,8053,1
MPTO,"{'AirportName': 'Panama International Airport', 'LatitudeDecimalDegrees': 9.071, 'LongitudeDecimalDegrees': -79.383}",1.07,0.2,,,100.0,16,0.0,3,16,0,0,16,0
MSLP,"{'AirportName': 'El Salvador International Airport', 'LatitudeDecimalDegrees': 13.441, 'LongitudeDecimalDegrees': -89.056}",1593.67,15.85,0.25,0.21,99.99,157795,0.01,1569,157773,19,22,157774,17
MTPP,"{'AirportName': 'Toussaint Louverture International Airport', 'LatitudeDecimalDegrees': 18.58, 'LongitudeDecimalDegrees': -72.293}",90.03,1.73,1.0,1.0,99.99,8644,0.01,166,8643,1,1,8643,1
MUHA,"{'AirportName': 'Jose Marti International\xa0Airport\xa0', 'LatitudeDecimalDegrees': 22.989, 'LongitudeDecimalDegrees': -82.40899999999998}",4.95,0.64,,,100.0,480,0.0,62,480,0,0,480,0
MYNN,"{'AirportName': 'Lynden Pindling International Airport', 'LatitudeDecimalDegrees': 25.039, 'LongitudeDecimalDegrees': -77.46600000000002}",0.36,0.04,,,100.0,26,0.0,3,26,0,0,26,0
MZBZ,"{'AirportName': 'Philip S. W. Goldson International Airport', 'LatitudeDecimalDegrees': 17.539, 'LongitudeDecimalDegrees': -88.30799999999998}",0.45,0.05,,,100.0,25,0.0,3,25,0,0,25,0
NFTF,"{'AirportName': ""Fua'amotu International Airport"", 'LatitudeDecimalDegrees': -21.241, 'LongitudeDecimalDegrees': -175.15}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
NSFA,"{'AirportName': 'Faleolo International Airport', 'LatitudeDecimalDegrees': -13.83, 'LongitudeDecimalDegrees': -172.00799999999995}",6.0,1.0,,,100.0,6,0.0,1,6,0,0,6,0
NZWN,"{'AirportName': 'Wellington International Airport', 'LatitudeDecimalDegrees': -41.327, 'LongitudeDecimalDegrees': 174.805}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
OAKB,"{'AirportName': 'Kabul International Airport', 'LatitudeDecimalDegrees': 34.566, 'LongitudeDecimalDegrees': 69.212}",2.3,0.3,,,100.0,23,0.0,3,23,0,0,23,0
OJAI,"{'AirportName': 'Queen Alia International Airport', 'LatitudeDecimalDegrees': 31.722, 'LongitudeDecimalDegrees': 35.993}",0.43,0.06,,,100.0,36,0.0,5,36,0,0,36,0
OJAM,"{'AirportName': 'Amman Civil Airport', 'LatitudeDecimalDegrees': 31.972, 'LongitudeDecimalDegrees': 35.991}",7.0,1.0,,,100.0,7,0.0,1,7,0,0,7,0
OLBA,"{'AirportName': 'Beirut Rafic Hariri International Airport', 'LatitudeDecimalDegrees': 33.813, 'LongitudeDecimalDegrees': 35.48900000000001}",7.0,1.0,,,100.0,7,0.0,1,7,0,0,7,0
OMDW,"{'AirportName': 'Dubai International Airport', 'LatitudeDecimalDegrees': 24.888278, 'LongitudeDecimalDegrees': 55.160378}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
OPRN,"{'AirportName': 'Islamabad International Airport', 'LatitudeDecimalDegrees': 33.616, 'LongitudeDecimalDegrees': 73.09899999999998}",27.25,0.5,,,100.0,109,0.0,2,109,0,0,109,0
ORBI,"{'AirportName': 'Baghdad International Airport', 'LatitudeDecimalDegrees': 33.2625, 'LongitudeDecimalDegrees': 44.234444}",0.8,0.1,,,100.0,16,0.0,2,16,0,0,16,0
OYSN,"{'AirportName': ""Sana'a International Airport"", 'LatitudeDecimalDegrees': 15.476389, 'LongitudeDecimalDegrees': 44.219722}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
PHNL,"{'AirportName': 'Honolulu International Airport', 'LatitudeDecimalDegrees': 21.316, 'LongitudeDecimalDegrees': -157.92700000000005}",2.0,1.0,,,0.0,2,100.0,1,2,0,0,0,2
PKMJ,"{'AirportName': 'Marshall Islands International Airport', 'LatitudeDecimalDegrees': 7.065, 'LongitudeDecimalDegrees': 171.27200000000005}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
RCTP,"{'AirportName': 'Taiwan Taoyuan International Airport', 'LatitudeDecimalDegrees': 25.08, 'LongitudeDecimalDegrees': 121.232}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
RJBB,"{'AirportName': 'Kansai International Airport', 'LatitudeDecimalDegrees': 34.434166999999995, 'LongitudeDecimalDegrees': 135.232778}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
RPLL,"{'AirportName': 'Ninoy Aquino International Airport', 'LatitudeDecimalDegrees': 14.509, 'LongitudeDecimalDegrees': 121.019}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
SAEZ,"{'AirportName': 'Ezeiza International Airport', 'LatitudeDecimalDegrees': -34.822222, 'LongitudeDecimalDegrees': -58.535833}",0.61,0.09,,,100.0,14,0.0,2,14,0,0,14,0
SBBR,"{'AirportName': 'Brasilia International Airport', 'LatitudeDecimalDegrees': -15.862, 'LongitudeDecimalDegrees': -47.913}",7.0,1.0,,,100.0,7,0.0,1,7,0,0,7,0
SBCF,"{'AirportName': 'Tancredo Neves International Airport', 'LatitudeDecimalDegrees': -19.634, 'LongitudeDecimalDegrees': -43.969}",5.0,1.0,,,100.0,5,0.0,1,5,0,0,5,0
SBGR,"{'AirportName': 'Guarulhos–Governador André Franco Montoro International Airport\xa0', 'LatitudeDecimalDegrees': -23.432, 'LongitudeDecimalDegrees': -46.469}",0.05,0.02,,,100.0,4,0.0,2,4,0,0,4,0
SEGU,"{'AirportName': 'Simon Bolivar International Airport', 'LatitudeDecimalDegrees': -2.158, 'LongitudeDecimalDegrees': -79.884}",102.7,2.02,1.0,1.0,99.99,10066,0.01,198,10065,1,1,10065,1
SKBO,"{'AirportName': 'El Dorado International Airport', 'LatitudeDecimalDegrees': 4.7010000000000005, 'LongitudeDecimalDegrees': -74.14699999999998}",74.51,1.0,,,100.0,7302,0.0,98,7302,0,0,7302,0
SLLP,"{'AirportName': 'El Alto International Airport\xa0', 'LatitudeDecimalDegrees': -16.512999999999998, 'LongitudeDecimalDegrees': -68.192}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
SLVR,"{'AirportName': 'Viru Viru International Airport', 'LatitudeDecimalDegrees': -17.645, 'LongitudeDecimalDegrees': -63.135}",6.0,1.0,,,100.0,6,0.0,1,6,0,0,6,0
SMJP,"{'AirportName': 'Johan Adolf Pengel International Airport', 'LatitudeDecimalDegrees': 5.4529999999999985, 'LongitudeDecimalDegrees': -55.188}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
SPJC,"{'AirportName': 'Jorge Chavez International Airport', 'LatitudeDecimalDegrees': -12.021944, 'LongitudeDecimalDegrees': -77.11444399999998}",1.06,0.06,,,100.0,84,0.0,5,84,0,0,84,0
SUMU,"{'AirportName': 'Carrasco International Airport', 'LatitudeDecimalDegrees': -34.838, 'LongitudeDecimalDegrees': -56.03}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
SYCJ,"{'AirportName': 'Cheddi Jagan International Airport', 'LatitudeDecimalDegrees': 6.4983330000000015, 'LongitudeDecimalDegrees': -58.253889}",1.31,0.1,,,100.0,105,0.0,8,105,0,0,105,0
TAPA,"{'AirportName': 'V.C. Bird International Airport', 'LatitudeDecimalDegrees': 17.137, 'LongitudeDecimalDegrees': -61.792}",3.0,1.0,,,100.0,3,0.0,1,3,0,0,3,0
TBPB,"{'AirportName': 'Grantley Adams International Airport', 'LatitudeDecimalDegrees': 13.074000000000002, 'LongitudeDecimalDegrees': -59.492}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
TDPD,"{'AirportName': 'Melville Hall Airport', 'LatitudeDecimalDegrees': 15.547, 'LongitudeDecimalDegrees': -61.3}",3.0,1.0,,,100.0,3,0.0,1,3,0,0,3,0
TGPY,"{'AirportName': 'Grenada International Airport', 'LatitudeDecimalDegrees': 12.004, 'LongitudeDecimalDegrees': -61.786}",5.0,1.0,,,100.0,5,0.0,1,5,0,0,5,0
TIST,"{'AirportName': 'Cyril E. King Airport', 'LatitudeDecimalDegrees': 18.337, 'LongitudeDecimalDegrees': -64.973}",,,11.0,1.0,0.0,11,100.0,0,0,1,11,0,11
TJBQ,"{'AirportName': 'Rafael Hernandez Airport', 'LatitudeDecimalDegrees': 18.495, 'LongitudeDecimalDegrees': -67.12899999999999}",,,43.33,0.67,0.0,130,100.0,0,0,2,130,0,130
TJSJ,"{'AirportName': 'Luis Munoz Marin International Airport', 'LatitudeDecimalDegrees': 18.439, 'LongitudeDecimalDegrees': -66.002}",,,3.95,0.08,37.15,253,62.85,0,0,5,253,94,159
TKPK,"{'AirportName': 'Robert L. Bradshaw International Airport', 'LatitudeDecimalDegrees': 17.311, 'LongitudeDecimalDegrees': -62.719}",4.0,1.0,,,100.0,4,0.0,1,4,0,0,4,0
TLPL,"{'AirportName': 'Hewanorra International Airport', 'LatitudeDecimalDegrees': 13.733, 'LongitudeDecimalDegrees': -60.953}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
TTPP,"{'AirportName': 'Piarco International Airport', 'LatitudeDecimalDegrees': 10.595, 'LongitudeDecimalDegrees': -61.337}",0.95,0.14,,,100.0,77,0.0,11,77,0,0,77,0
TVSC,"{'AirportName': 'Canouan Airport', 'LatitudeDecimalDegrees': 12.699000000000002, 'LongitudeDecimalDegrees': -61.342}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
TVSV,"{'AirportName': 'E. T. Joshua Airport', 'LatitudeDecimalDegrees': 13.144, 'LongitudeDecimalDegrees': -61.21100000000001}",4.0,1.0,,,100.0,4,0.0,1,4,0,0,4,0
TXKF,"{'AirportName': 'L.F. Wade International International Airport', 'LatitudeDecimalDegrees': 32.364167, 'LongitudeDecimalDegrees': -64.678611}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
UGTB,"{'AirportName': 'Tbilisi International Airport', 'LatitudeDecimalDegrees': 41.6692, 'LongitudeDecimalDegrees': 44.9547}",0.09,0.09,,,100.0,2,0.0,2,2,0,0,2,0
UKBB,"{'AirportName': 'Boryspil International Airport', 'LatitudeDecimalDegrees': 50.345, 'LongitudeDecimalDegrees': 30.895}",0.24,0.12,,,100.0,8,0.0,4,8,0,0,8,0
UKKK,"{'AirportName': 'Kiev Zhuliany International Airport', 'LatitudeDecimalDegrees': 50.402, 'LongitudeDecimalDegrees': 30.452}",0.12,0.05,,,100.0,8,0.0,3,8,0,0,8,0
UTDD,"{'AirportName': 'Dushanbe Airport', 'LatitudeDecimalDegrees': 38.543, 'LongitudeDecimalDegrees': 68.825}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
UTTT,"{'AirportName': 'Toshkent Xalqaro', 'LatitudeDecimalDegrees': 41.257, 'LongitudeDecimalDegrees': 69.282}",3.0,1.0,,,100.0,3,0.0,1,3,0,0,3,0
UUEE,"{'AirportName': 'Sheremetyevo International Airport', 'LatitudeDecimalDegrees': 55.972, 'LongitudeDecimalDegrees': 37.415}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
UUWW,"{'AirportName': 'Vnukovo International Airport', 'LatitudeDecimalDegrees': 55.591, 'LongitudeDecimalDegrees': 37.261}",0.8,0.2,,,100.0,8,0.0,2,8,0,0,8,0
UWKD,"{'AirportName': 'Kazan International Airport', 'LatitudeDecimalDegrees': 55.608, 'LongitudeDecimalDegrees': 49.277}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
VCBI,"{'AirportName': 'Bandaranaike International Colombo Airport', 'LatitudeDecimalDegrees': 7.181, 'LongitudeDecimalDegrees': 79.884}",0.11,0.04,,,100.0,5,0.0,2,5,0,0,5,0
VDPP,"{'AirportName': 'Phnom Penh International Airport', 'LatitudeDecimalDegrees': 11.546, 'LongitudeDecimalDegrees': 104.844}",3.75,0.28,,,100.0,120,0.0,9,120,0,0,120,0
VGHS,"{'AirportName': 'Dhaka Shahjalal International Airport', 'LatitudeDecimalDegrees': 23.842778, 'LongitudeDecimalDegrees': 90.400556}",11.7,0.35,,,100.0,269,0.0,8,269,0,0,269,0
VIDP,"{'AirportName': 'Indira Gandhi International Airport', 'LatitudeDecimalDegrees': 28.566, 'LongitudeDecimalDegrees': 77.10300000000002}",13.62,0.31,,,100.0,395,0.0,9,395,0,0,395,0
VNKT,"{'AirportName': 'Tribhuvan International Airport', 'LatitudeDecimalDegrees': 27.696, 'LongitudeDecimalDegrees': 85.359}",0.76,0.14,,,100.0,16,0.0,3,16,0,0,16,0
VTBS,"{'AirportName': 'Suvarnabhumi Airport', 'LatitudeDecimalDegrees': 13.6925, 'LongitudeDecimalDegrees': 100.75}",1.0,1.0,,,100.0,1,0.0,1,1,0,0,1,0
VVTS,"{'AirportName': ""Tan So'n Nhat International Airport"", 'LatitudeDecimalDegrees': 10.82, 'LongitudeDecimalDegrees': 106.662}",2.28,0.16,,,100.0,73,0.0,5,73,0,0,73,0
VYYY,"{'AirportName': 'Yangon International Airport', 'LatitudeDecimalDegrees': 16.907, 'LongitudeDecimalDegrees': 96.133}",7.0,1.0,,,100.0,7,0.0,1,7,0,0,7,0
YSSY,"{'AirportName': 'Sydney Kingsford Smith Airport', 'LatitudeDecimalDegrees': -33.946, 'LongitudeDecimalDegrees': 151.17700000000005}",2.0,1.0,,,100.0,2,0.0,1,2,0,0,2,0
ZBAA,"{'AirportName': 'Beijing Capital International Airport', 'LatitudeDecimalDegrees': 40.08, 'LongitudeDecimalDegrees': 116.584}",6.0,1.0,,,100.0,6,0.0,1,6,0,0,6,0
ZSFZ,"{'AirportName': 'Fuzhou Changle International Airport', 'LatitudeDecimalDegrees': 25.933000000000003, 'LongitudeDecimalDegrees': 119.662}",5.57,0.14,,,100.0,156,0.0,4,156,0,0,156,0
