,airport_name,monthly_dropoff_avg,monthly_dropoff_mission_avg,monthly_pickup_avg,monthly_pickup_mission_avg,removal_percent,total_unique,transfer_percent,unique_dropoff_missions,unique_dropoffs,unique_pickup_missions,unique_pickups,unique_removals,unique_transfers
KCOS,"{'AirportName': 'City of Colorado Springs Municipal Airport', 'LatitudeDecimalDegrees': 38.806, 'LongitudeDecimalDegrees': -104.7}",10.42,0.12,33.36,0.68,63.1,4184,36.9,11,948,66,3236,2640,1544
KCRP,"{'AirportName': 'Corpus Christi International Airport', 'LatitudeDecimalDegrees': 27.77, 'LongitudeDecimalDegrees': -97.501}",,,75.08,0.69,78.38,976,21.62,0,0,9,976,765,211
KCSG,"{'AirportName': 'Columbus Metropolitan Airport', 'LatitudeDecimalDegrees': 32.5163333, 'LongitudeDecimalDegrees': -84.9388611}",95.41,2.89,850.49,12.0,67.98,89670,32.02,269,8873,1140,80797,60956,28714
KCVG,"{'AirportName': 'Cincinnati Northern Kentucky International Airport', 'LatitudeDecimalDegrees': 39.046, 'LongitudeDecimalDegrees': -84.662}",,,25.33,0.67,84.21,76,15.79,0,0,2,76,64,12
KDAL,"{'AirportName': 'Dallas Love Field', 'LatitudeDecimalDegrees': 32.847, 'LongitudeDecimalDegrees': -96.852}",7.48,0.13,133.95,3.0,93.56,11961,6.44,11,613,255,11386,11191,770
KDEN,"{'AirportName': 'Denver International Airport', 'LatitudeDecimalDegrees': 39.858, 'LongitudeDecimalDegrees': -104.667}",85.46,2.6,211.36,4.87,30.62,29003,69.38,252,8290,477,20713,8880,20123
KDFW,"{'AirportName': 'Dallas Fort Worth International Airport', 'LatitudeDecimalDegrees': 32.896, 'LongitudeDecimalDegrees': -97.037}",,,2.32,0.09,100.0,188,0.0,0,0,7,188,188,0
KDTW,"{'AirportName': 'Detroit Metropolitan Wayne County Airport', 'LatitudeDecimalDegrees': 42.212, 'LongitudeDecimalDegrees': -83.353}",4.0,1.0,8.03,0.09,69.35,261,30.65,1,4,3,257,181,80
KELP,"{'AirportName': 'El Paso International Airport', 'LatitudeDecimalDegrees': 31.807, 'LongitudeDecimalDegrees': -106.378}",880.67,19.45,1375.02,23.38,54.99,223069,45.01,1926,87186,2315,136127,122665,100404
KEWR,"{'AirportName': 'Newark Liberty International Airport', 'LatitudeDecimalDegrees': 40.692, 'LongitudeDecimalDegrees': -74.169}",180.13,5.86,354.75,6.16,15.12,46889,84.88,510,15671,542,31218,7089,39800
KFTW,"{'AirportName': 'Fort Worth Meacham International Airport', 'LatitudeDecimalDegrees': 32.82, 'LongitudeDecimalDegrees': -97.362}",6.54,0.38,84.36,2.71,93.29,1266,6.71,5,85,38,1181,1181,85
KGFK,"{'AirportName': 'Grand Forks International Airport', 'LatitudeDecimalDegrees': 47.949, 'LongitudeDecimalDegrees': -97.176}",1.0,1.0,,,0.0,1,100.0,1,1,0,0,0,1
KGRK,"{'AirportName': 'Robert Gray  Army Air Field Airport', 'LatitudeDecimalDegrees': 31.067, 'LongitudeDecimalDegrees': -97.829}",,,263.0,3.0,100.0,263,0.0,0,0,3,263,263,0
KGYY,"{'AirportName': 'Gary Chicago International Airport', 'LatitudeDecimalDegrees': 41.616389, 'LongitudeDecimalDegrees': -87.412778}",126.91,4.08,270.85,4.88,27.99,26252,72.01,269,8376,322,17876,7349,18903
KHRL,"{'AirportName': 'Valley International Airport', 'LatitudeDecimalDegrees': 26.228, 'LongitudeDecimalDegrees': -97.654}",2437.36,28.43,2049.08,24.72,88.6,273403,11.4,1734,148679,1508,124994,242241,31162
KHST,"{'AirportName': 'Homestead ARB Airport', 'LatitudeDecimalDegrees': 25.488000000000003, 'LongitudeDecimalDegrees': -80.384}",22.2,0.4,,,100.0,111,0.0,2,111,0,0,111,0
KIAD,"{'AirportName': 'Washington Dulles International Airport', 'LatitudeDecimalDegrees': 38.944, 'LongitudeDecimalDegrees': -77.456}",,,65.0,1.0,0.0,65,100.0,0,0,1,65,0,65
KIAG,"{'AirportName': 'Niagara Falls International Airport', 'LatitudeDecimalDegrees': 43.107, 'LongitudeDecimalDegrees': -78.946}",,,1.97,0.23,100.0,122,0.0,0,0,14,122,122,0
KIAH,"{'AirportName': 'George Bush Intercontinental Houston Airport', 'LatitudeDecimalDegrees': 29.98, 'LongitudeDecimalDegrees': -95.34}",32.13,0.76,508.87,8.81,93.23,53401,6.77,75,3181,872,50378,49785,3615
KIWA,"{'AirportName': 'Phoenix-Mesa-Gateway Airport', 'LatitudeDecimalDegrees': 33.3078333, 'LongitudeDecimalDegrees': -111.6554722}",948.4,24.79,1981.2,38.95,53.36,289016,46.64,2454,93892,3856,196139,154214,134801
KJAX,"{'AirportName': 'Jacksonville International Airport', 'LatitudeDecimalDegrees': 30.494, 'LongitudeDecimalDegrees': -81.688}",34.8,0.43,23.67,0.35,6.18,5176,93.82,41,3306,28,1870,320,4856
KKBL,"{'AirportName': 'Hamid Karzai International Airport', 'LatitudeDecimalDegrees': nan, 'LongitudeDecimalDegrees': nan}",22.0,1.0,,,100.0,22,0.0,1,22,0,0,22,0
KLAS,"{'AirportName': 'McCarran International Airport', 'LatitudeDecimalDegrees': 36.08, 'LongitudeDecimalDegrees': -115.152}",22.65,3.53,191.15,5.29,44.45,21166,55.55,349,2242,524,18924,9408,11758
KLAW,"{'AirportName': 'Lawton Fort Sill Regional Airport', 'LatitudeDecimalDegrees': 34.567778000000004, 'LongitudeDecimalDegrees': -98.416389}",938.0,7.5,,,0.0,1876,100.0,15,1876,0,0,0,1876
KLIT,"{'AirportName': 'Adams Field', 'LatitudeDecimalDegrees': 34.729, 'LongitudeDecimalDegrees': -92.224}",1.0,1.0,,,0.0,1,100.0,1,1,0,0,0,1
KLRD,"{'AirportName': 'Laredo International Airport', 'LatitudeDecimalDegrees': 27.544, 'LongitudeDecimalDegrees': -99.461}",473.97,6.67,569.79,8.3,87.18,103322,12.82,660,46923,822,56409,90080,13242
KMCI,"{'AirportName': 'Kansas City International Airport', 'LatitudeDecimalDegrees': 39.297, 'LongitudeDecimalDegrees': -94.714}",2.48,0.61,129.8,3.61,64.56,13091,35.44,59,241,357,12850,8452,4639
KMDT,"{'AirportName': 'Harrisburg International Airport', 'LatitudeDecimalDegrees': 40.19300000000001, 'LongitudeDecimalDegrees': -76.763}",149.39,6.21,771.19,9.05,29.07,91138,70.93,615,14790,896,76348,26494,64643
KMDW,"{'AirportName': 'Chicago Midway International Airport', 'LatitudeDecimalDegrees': 41.786, 'LongitudeDecimalDegrees': -87.75200000000002}",31.0,1.0,,,0.0,31,100.0,1,31,0,0,0,31
KMEM,"{'AirportName': 'Memphis International Airport', 'LatitudeDecimalDegrees': 35.042, 'LongitudeDecimalDegrees': -89.977}",73.63,0.63,83.13,1.07,0.0,5223,100.0,34,3976,16,1247,0,5223
KMHR,"{'AirportName': 'Sacramento Mather Airport', 'LatitudeDecimalDegrees': 38.554, 'LongitudeDecimalDegrees': -121.297}",48.0,1.0,,,0.0,48,100.0,1,48,0,0,0,48
