|AirportID|AirportName|City|Country|DropLoc_count|ICAO|PULOC_count|StateAbbr|StateID
1259473|185.0|Cyril E. King Airport|St Thomas|USA||TIST|1.0|VI|49.0
1334605|272.0|Brown Field Municipal Airport|San Diego|USA||KSDM|1.0||
1346974|124.0|Southern California Logistics Airport|Victorville|USA||KVCV|1.0|CA|5.0
1381223|279.0|Charleston International Airport|Charleston|USA||KCHS|1.0|SC|43.0
1389692|277.0|Yakima Air Terminal|Yakima|USA||KYKM|1.0|WA|51.0
1396165|204.0|Albuquerque International Sunport Airport|Albuquerque|USA||KABQ|1.0|NM|34.0
1518956|80.0|Memphis International Airport|Memphis|USA||KMEM|1.0|TN|45.0
1591413|291.0|Portsmouth International Airport|Portsmouth, NH|USA||KPSM|1.0||
1612425|281.0|Youngston Warren Regional Airport|Vienna Center|USA||KYNG|1.0||
1716419||Albany International Airport||USA||KALB|1.0||
1726473|301.0|Fort Worth Meacham International Airport|Fort Worth|USA||KFTW|1.0|TX|46.0
121|35.0|Alexandria International Airport|Alexandria|USA|1.0|KAEX||LA|20.0
1155|39.0|Boeing Field King County International Airport|Seattle|USA|1.0|KBFI||WA|51.0
4368|40.0|Meadows Field|Bakersfield|USA|1.0|KBFL||CA|5.0
678|57.0|El Paso International Airport|El Paso|USA|1.0|KELP||TX|46.0
467|65.0|Valley International Airport|Harlingen|USA|1.0|KHRL||TX|46.0
4945|69.0|George Bush Intercontinental Houston Airport|Houston|USA|1.0|KIAH||TX|46.0
466|71.0|Phoenix-Mesa-Gateway Airport|Mesa|USA|1.0|KIWA||AZ|4.0
1659|74.0|McCarran International Airport|Las Vegas|USA|1.0|KLAS||NV|35.0
2008|77.0|Laredo International Airport|Laredo|USA|1.0|KLRD||TX|46.0
9003|78.0|Kansas City International Airport|Kansas City|USA|1.0|KMCI||MO|26.0
727|79.0|Harrisburg International Airport|Harrisburg|USA|1.0|KMDT||PA|40.0
8578|83.0|Miami International Airport|Miami|USA|1.0|KMIA||FL|10.0
3644|92.0|Metropolitan Oakland International Airport|Oakland|USA|1.0|KOAK||CA|5.0
8132|95.0|Ontario International Airport|Ontario|USA|1.0|KONT||CA|5.0
602|107.0|San Diego International Airport|San Diego|USA|1.0|KSAN||CA|5.0
5929|108.0|San Antonio International Airport|San Antonio|USA|1.0|KSAT||TX|46.0
4830|116.0|Salt Lake City International Airport|Salt Lake City|USA|1.0|KSLC||UT|47.0
5442|120.0|Toledo Express Airport|Toledo|USA|1.0|KTOL||OH|37.0
2623|148.0|Las Americas International Airport|Santo Domingo|Dominican Republic|1.0|MDSD|||
0|149.0|La Aurora Airport|Guatemala City|Guatemala|1.0|MGGT|||
925|150.0|Ramon Villeda Morales International Airport|San Pedro Sula|Honduras|1.0|MHLM|||
856|152.0|Toncontín International Airport|Tegucigalpa|Honduras|1.0|MHTG|||
13846|153.0|Norman Manley International Airport|Kingston|Jamaica|1.0|MKJP|||
10960|156.0|Augusto C. Sandino (Managua) International Airport|Managua|Nicaragua|1.0|MNMG|||
347|157.0|El Salvador International Airport|San Salvador|El Salvador|1.0|MSLP|||
3788|177.0|Simon Bolivar International Airport|Guayaquill|Ecuador|1.0|SEGU|||
13580|178.0|El Dorado International Airport|Bogota|Colombia|1.0|SKBO|||
27047|34.0|Abilene Regional Airport|Abilene|USA|1.0|KABI||TX|46.0
16661|54.0|Denver International Airport|Denver|USA|1.0|KDEN||CO|6.0
19092|85.0|Minneapolis-St Paul International/Wold-Chamberlain Airport|Minneapolis|USA|1.0|KMSP||MN|25.0
32079|94.0|Eppley Airfield|Omaha|USA|1.0|KOMA||NE|31.0
23505|98.0|Snohomish County (Paine Field) Airport|Everett|USA|1.0|KPAE||WA|51.0
16540|160.0|Jose Marti International Airport |La Habana|Cuba|1.0|MUHA|||
37484|37.0|Austin Bergstrom International Airport|Austin|USA|1.0|KAUS||TX|46.0
36160|51.0|Columbus Metropolitan Airport|Columbus|USA|1.0|KCSG||GA|11.0
35916|53.0|Dallas Love Field|Dallas|USA|1.0|KDAL||TX|46.0
48338|72.0|Jacksonville International Airport|Jacksonville|USA|1.0|KJAX||FL|10.0
37200|97.0|Chicago O'Hare International Airport|Chicago|USA|1.0|KORD||IL|16.0
58593|159.0|Toussaint Louverture International Airport|Port-Of-Prince|Haiti|1.0|MTPP|||
95455|206.0|Bradley International Airport|Hartford|USA|1.0|KBDL||CT|7.0
113088|91.0|Yuma MCAS/Yuma International Airport|Yuma Naval|USA|2.0|KNYL||AZ|4.0
113089|90.0|Yuma MCAS/Yuma International Airport|Yuma|USA|2.0|KNYL||AR|3.0
102193|176.0|Guarulhos–Governador André Franco Montoro International Airport |Sao Paulo|Brazil|1.0|SBGR|||
116011|36.0|Hartsfield Jackson Atlanta International Airport|Atlanta|USA|1.0|KATL||GA|11.0
145573|146.0|Pristina International Airport|Pristina|Kosovo|2.0|BKPR|||
1266574|263.0|Pristina International Airport|Pristina|Kosovo|2.0|BKPR|||
141271|49.0|City of Colorado Springs Municipal Airport|Colorado Springs|USA|1.0|KCOS||CO|6.0
145571|136.0|João Paulo II Airport|Ponta Delgada|Portugal|1.0|LPPD|||
145575|142.0|Chisinau International Airport|Chisinau|Moldova|1.0|LUKK|||
132070|172.0|Kansai International Airport|Osaka|Japan|1.0|RJBB|||
145574|192.0|Tbilisi International Airport|Tbilisi|Georgia|1.0|UGTB|||
163364|30.0|Cairo International Airport|Cairo|Egypt|1.0|HECA|||
163363|127.0|Tirana International Airport Mother Teresa|Tirana|Albania|1.0|LATI|||
163359|139.0|Henri Coandâ International Airport|Bucharest|Romania|1.0|LROP|||
163365|163.0|Queen Alia International Airport|Amman|Jordan|1.0|OJAI|||
163361|193.0|Kiev Zhuliany International Airport|Kiev|Ukraine|1.0|UKKK|||
169456|155.0|Licenciado Benito Juarez International Airport|Mexico City|Mexico|1.0|MMMX|||
193291|5.0|Kotoka International Airport|Accra|Ghana|1.0|DGAA|||
193280|6.0|Port Bouet Airport|Abidjan|Ivory Coast|1.0|DIAP|||
193269|7.0|Murtala Muhammed International Airport|Lagos|Nigeria|1.0|DNMM|||
193270|24.0|Roberts International Airport|Monrovia|Liberia|1.0|GLRB|||
193344|27.0|Amílcar Cabral International Airport|Sal|Cape Verde|1.0|GVAC|||
193354|31.0|Jomo Kenyatta International Airport|Nairobi|Kenya|1.0|HKJK|||
193356|32.0|Kigali International Airport|Kigali|Rwanda|1.0|HRYR|||
193357|33.0|Juba Airport|Juba|South Sudan|1.0|HSSJ|||
190123|217.0|Homestead ARB Airport|Homestead|USA|1.0|KHST||FL|10.0
191539|122.0|Tucson International Airport|Tucson|USA|1.0|KTUS||AZ|4.0
193358|143.0|Skopje Alexander the Great Airport|Skopje|Macedonia|1.0|LWSK|||
193360|194.0|Dushanbe Airport|Dushanbe|Tajikistan|1.0|UTDD|||
226872|166.0|Sana'a International Airport|Sana'a|Yemen|1.0|OYSN|||
216581|203.0|Beijing Capital International Airport|Beijing|China|1.0|ZBAA|||
241237|58.0|Newark Liberty International Airport|Newark|USA|1.0|KEWR||NJ|33.0
260093|105.0|Reno Tahoe International Airport|Reno|USA|1.0|KRNO||NV|35.0
273603|128.0|Budapest Liszt Ferenc international Airport|Budapest|Hungary|1.0|LHBP|||
273601|138.0|Bâneasa International Airport|Bucharest|Romania|1.0|LRBS|||
273598|144.0|Belgrade Nikola Tesla Airport|Belgrade|Serbia|1.0|LYBE|||
273599|145.0|Podgorica Airport|Podgorica|Montenegro|1.0|LYPG|||
272164|190.0|L.F. Wade International International Airport|St. David's Island|Bermuda|1.0|TXKF|||
282652|11.0|London Luton Airport|London|United Kingdom|1.0|EGGW|||
279643|19.0|Ndjili International Airport|Kinshasa|Democratic Republic of Congo|1.0|FZAA|||
279645|29.0|Addis Ababa Bole International Airport|Addis Ababa|Ethiopia|2.0|HAAB|||
279646|244.0|Addis Ababa Bole International Airport|Bole|Ethiopia|2.0|HAAB|||
284270|43.0|Boise Air Terminal/Gowen field|Boise|USA|1.0|KBOI||ID|15.0
282655|134.0|Ben Gurion International Airport|Tel Aviv|Israel|1.0|LLBG|||
281947|188.0|Piarco International Airport|Port Of Spain|Trinidad and Tobago|1.0|TTPP|||
296879|8.0|Diori Hamani International Airport|Niamey|Niger|1.0|DRRN|||
296878|18.0|Yaoundé Nsimalen International Airport|Nsimalen|Cameroon|1.0|FKYS|||
296880|20.0|Senou Airport|Bamako|Mali|1.0|GABS|||
296875|26.0|Conakry Airport|Conakry|Guinea|1.0|GUCY|||
302656|182.0|Cheddi Jagan International Airport|Georgetown|Guyana|1.0|SYCJ|||
323269|9.0|Frankfurt am Main International Airport|Frankfurt|Germany|1.0|EDDF|||
320350|17.0|Warsaw Chopin Airport|Warsaw|Poland|1.0|EPWA|||
316542|179.0|El Alto International Airport |La Paz|Bolivia|1.0|SLLP|||
316544|181.0|Jorge Chávez International Airport |Lima|Peru|1.0|SPIM|||
320353|195.0|Sheremetyevo International Airport|Moscow|Russia|1.0|UUEE|||
330876|164.0|Beirut Rafic Hariri International Airport|Beruit|Lebanon|1.0|OLBA|||
370783|46.0|Buffalo Niagara International Airport|Buffalo|USA|1.0|KBUF||NY|36.0
365078|196.0|Kazan International Airport|Kazan|Russia|1.0|UWKD|||
389352|45.0|Brownsville South Padre Island International Airport|Brownsville|USA|1.0|KBRO||TX|46.0
389462|197.0|Bandaranaike International Colombo Airport|Colombo|Sri Lanka|1.0|VCBI|||
410489|88.0|El Centro Naf Airport|El Centro|USA|1.0|KNJK||CA|5.0
495906|147.0|M. R. Štefánik Airport|Bratislava|Slovakia|1.0|LZIB|||
506518|161.0|Lynden Pindling International Airport|Nassau|Bahamas|1.0|MYNN|||
677944|44.0|General Edward Lawrence Logan International Airport|Boston|USA|1.0|KBOS||MA|21.0
714408|63.0|Gary Chicago International Airport|Gary|USA|1.0|KGYY||IN|17.0
710931|103.0|Chicago Rockford International Airport|Rockford|USA|1.0|KRFD||IL|16.0
731685|162.0|Philip S. W. Goldson International Airport|Belize City|Belize|1.0|MZBZ|||
760270|55.0|Detroit Metropolitan Wayne County Airport|Detroit|USA|1.0|KDTW||MI|24.0
832110|76.0|Adams Field|Little Rock|USA|1.0|KLIT||AR|3.0
842088|180.0|Viru Viru International Airport|Santa Cruz|Bolivia|1.0|SLVR|||
900496|38.0|Laurence G Hanscom Field|Bedford|USA|1.0|KBED||MA|21.0
917038|104.0|Richmond International Airport|Richmond|USA|1.0|KRIC||VA|48.0
933692|118.0|Lambert St Louis International Airport|St Louis|USA|1.0|KSTL||MO|26.0
922634|184.0|Melville Hall Airport|Dominica|Dominica|1.0|TDPD|||
922630|189.0|E. T. Joshua Airport|Kingstown|St Vincent|1.0|TVSV|||
939144|42.0|Nashville International Airport|Nashville|USA|1.0|KBNA||TN|45.0
946889|75.0|Lawton Fort Sill Regional Airport|Lawton|USA|1.0|KLAW||OK|38.0
936052|80.0|Memphis International Airport|Memphis|USA|1.0|KMEM||TN|45.0
951181|89.0|Point Mugu Naval Air Station (Naval Base Ventura Co)|Oxnard, Pt Magu|USA|1.0|KNTD||CA|5.0
953884|115.0|Lackland Air Force Base (Kelly Field Annex) Airport|San Antonio, Kelly Fld|USA|1.0|KSKF||TX|46.0
978518|124.0|Southern California Logistics Airport|Victorville|USA|1.0|KVCV||CA|5.0
984242|106.0|Roswell International Air Center Airport|Roswell|USA|1.0|KROW||NM|34.0
994461|151.0|Coronel Enrique Soto Cano Air Base|Comayagua|Honduras|1.0|MHSC|||
1030468|215.0|Grand Forks International Airport|Grand Forks|USA|1.0|KGFK||ND|30.0
1038118|238.0|Douala International Airport|Douala|Cameroon|1.0|FKKD|||
1038120|239.0|Libreville International Airport|Libreville|Gabon|1.0|FOOL|||
1076595|235.0|Kenneth Kaunda International/Lusaka Airport|Lusaka|Zambia|1.0|FLKK|||
1076597|236.0|Lilongwe - Kamuzu International Airport|Lilongwe|Malawi|1.0|FWKI|||
1076598|240.0|Julius Nyerere International Airport|Dar es Salaam|Tanzania|1.0|HTDA|||
1071914|154.0|Manuel Crescencio Rejón International Airport|Merida|Mexico|1.0|MMMD|||
