,MissionYear,R-T,air2_Country,air2_AirportName,AlienMasterID,MissionID
11,2012,R,Kenya,Jomo Kenyatta International Airport,19,2
33,2014,R,Kenya,Jomo Kenyatta International Airport,2,1
82,2017,R,Somalia,Aden Adde International Airport,342,5
103,2018,R,Somalia,Aden Adde International Airport,217,3
