Fiscal Year,Annual Departures,Annual Pickup Missions,Annual Arrivals,Annual Removals,Annual Transfers,Annual Total
2011,15561,12,75,15416,220,15636
2012,14294,19,769,13644,1419,15063
2013,9237,22,1138,8799,1576,10375
2014,5681,20,949,5182,1448,6630
2015,8330,34,1376,5108,4598,9706
2016,8095,59,2352,2546,7901,10447
2017,10367,50,1058,5657,5768,11425
2018,9232,53,1156,4604,5784,10388
