FY,2017,2017,2018,2018
Source,ARTS,ERO,ARTS,ERO
CountryOfCitizenship,,,,
MEXICO,32967.0,128765.0,34738.0,141045.0
SOMALIA,342.0,521.0,151.0,229.0
CAMBODIA,28.0,29.0,90.0,110.0
CUBA,53.0,160.0,255.0,463.0
ERITREA,0,41.0,0,62.0
