,MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
63,2015-06-25,JAMAICA,R,KMIA,MKJP,3,1,False,0.0,0.0,0.0
64,2015-07-30,JAMAICA,R,KAEX,MKJP,58,1,False,0.0,1.0,1.7241379310344827
65,2015-08-27,JAMAICA,R,KAEX,MKJP,51,1,False,0.0,0.0,0.0
66,2015-09-24,JAMAICA,R,KAEX,MKJP,53,1,False,0.0,2.0,3.7735849056603774
67,2015-10-29,JAMAICA,R,KAEX,MKJP,56,1,False,0.0,0.0,0.0
68,2015-11-19,JAMAICA,R,KAEX,MKJP,58,1,False,0.0,1.0,1.7241379310344827
69,2015-12-17,JAMAICA,R,KAEX,MKJP,53,1,False,0.0,0.0,0.0
70,2016-01-28,JAMAICA,R,KAEX,MKJP,72,1,False,0.0,2.0,2.7777777777777777
71,2016-03-10,JAMAICA,R,KAEX,MKJP,73,1,False,0.0,0.0,0.0
72,2016-03-31,JAMAICA,R,KAEX,MKJP,55,1,False,0.0,1.0,1.8181818181818181
73,2016-04-28,JAMAICA,R,KAEX,MKJP,51,1,False,0.0,3.0,5.88235294117647
74,2016-05-26,JAMAICA,R,KAEX,MKJP,36,1,False,0.0,4.0,11.11111111111111
75,2016-06-30,JAMAICA,R,KAEX,MKJP,50,1,False,0.0,4.0,8.0
76,2016-07-28,JAMAICA,R,KAEX,MKJP,28,1,False,0.0,3.0,10.714285714285714
77,2016-08-25,JAMAICA,R,KAEX,MKJP,53,1,False,0.0,1.0,1.8867924528301887
78,2016-09-29,JAMAICA,R,KAEX,MKJP,75,1,False,0.0,1.0,1.3333333333333335
79,2016-10-27,JAMAICA,R,KAEX,MKJP,48,1,False,0.0,0.0,0.0
80,2016-11-30,JAMAICA,R,KAEX,MKJP,62,1,False,0.0,5.0,8.064516129032258
81,2016-12-22,JAMAICA,R,KAEX,MKJP,34,1,False,0.0,4.0,11.76470588235294
82,2017-01-26,JAMAICA,R,KAEX,MKJP,54,1,False,0.0,1.0,1.8518518518518516
83,2017-02-23,JAMAICA,R,KAEX,MKJP,70,1,False,0.0,0.0,0.0
84,2017-03-30,JAMAICA,R,KAEX,MKJP,61,1,False,0.0,1.0,1.639344262295082
85,2017-04-27,JAMAICA,R,KAEX,MKJP,58,1,False,0.0,4.0,6.896551724137931
86,2017-05-25,JAMAICA,R,KAEX,MKJP,54,1,False,0.0,2.0,3.7037037037037033
87,2017-06-29,JAMAICA,R,KAEX,MKJP,64,1,False,0.0,2.0,3.125
88,2017-07-27,JAMAICA,R,KAEX,MKJP,41,1,False,0.0,5.0,12.195121951219512
89,2017-08-31,JAMAICA,R,KAEX,MKJP,57,1,False,0.0,5.0,8.771929824561402
90,2017-08-31,JAMAICA,R,KMIA,MKJP,11,1,False,0.0,0.0,0.0
91,2017-09-28,JAMAICA,R,KAEX,MKJP,53,1,False,0.0,4.0,7.547169811320755
92,2017-10-26,JAMAICA,R,KAEX,MKJP,44,1,False,0.0,7.0,15.909090909090908
93,2017-11-30,JAMAICA,R,KAEX,MKJP,52,1,False,0.0,5.0,9.615384615384617
94,2017-12-21,JAMAICA,R,KAEX,MKJP,48,1,False,0.0,5.0,10.416666666666668
95,2018-01-25,JAMAICA,R,KAEX,MKJP,42,1,False,0.0,6.0,14.285714285714285
96,2018-01-25,JAMAICA,R,KMIA,MKJP,10,1,False,0.0,3.0,30.0
97,2018-02-22,JAMAICA,R,KAEX,MKJP,45,1,False,0.0,3.0,6.666666666666667
98,2018-03-29,JAMAICA,R,KAEX,MKJP,66,1,False,0.0,6.0,9.090909090909092
99,2018-04-26,JAMAICA,R,KAEX,MKJP,51,1,False,0.0,4.0,7.8431372549019605
100,2018-04-26,JAMAICA,R,KMIA,MKJP,12,1,False,0.0,1.0,8.333333333333332
101,2018-05-31,JAMAICA,R,KAEX,MKJP,54,1,False,0.0,6.0,11.11111111111111
102,2018-05-31,JAMAICA,R,KMIA,MKJP,13,1,False,0.0,4.0,30.76923076923077
103,2018-06-28,JAMAICA,R,KAEX,MKJP,51,1,False,0.0,4.0,7.8431372549019605
104,2018-07-26,JAMAICA,R,KAEX,MKJP,54,1,False,0.0,4.0,7.4074074074074066
105,2018-08-30,JAMAICA,R,KAEX,MKJP,72,1,False,0.0,7.0,9.722222222222223
106,2018-09-27,JAMAICA,R,KAEX,MKJP,50,1,False,0.0,5.0,10.0
107,2018-09-27,JAMAICA,R,KMIA,MKJP,19,1,False,0.0,1.0,5.263157894736842
108,2018-10-25,JAMAICA,R,KAEX,MKJP,64,1,False,0.0,4.0,6.25
109,2018-11-29,JAMAICA,R,KAEX,MKJP,40,1,False,0.0,4.0,10.0
110,2018-11-29,JAMAICA,R,KMIA,MKJP,9,1,False,0.0,1.0,11.11111111111111
