MissionDate,CountryOfCitizenship,R-T,PULOC,DropLoc,AlienMasterIDCount,MissionIDCount,JuvenileCount,JuvPercent,NCCount,NCPercent
2017-10-24,MEXICO,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2017-10-31,MEXICO,T,KBFI,KELP,50,1,0.0,0.0,17.0,34.0
2017-10-31,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2017-11-07,MEXICO,T,KBFI,KELP,41,1,0.0,0.0,11.0,26.82926829268293
2017-11-14,MEXICO,T,KBFI,KELP,45,1,0.0,0.0,14.0,31.11111111111111
2017-11-28,MEXICO,T,KBFI,KELP,91,1,0.0,0.0,19.0,20.87912087912088
2017-11-28,MEXICO,T,KBFI,KIWA,2,1,0.0,0.0,1.0,50.0
2017-12-12,MEXICO,T,KBFI,KELP,45,1,0.0,0.0,10.0,22.22222222222222
2017-12-19,MEXICO,T,KBFI,KELP,37,1,0.0,0.0,9.0,24.324324324324326
2017-12-26,MEXICO,T,KBFI,KELP,38,1,0.0,0.0,5.0,13.157894736842104
2018-01-02,MEXICO,T,KBFI,KELP,13,1,0.0,0.0,4.0,30.76923076923077
2018-01-09,MEXICO,T,KBFI,KELP,29,1,0.0,0.0,10.0,34.48275862068966
2018-01-09,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2018-01-16,MEXICO,T,KBFI,KELP,28,1,0.0,0.0,10.0,35.714285714285715
2018-01-23,MEXICO,T,KBFI,KELP,52,1,0.0,0.0,16.0,30.76923076923077
2018-01-30,MEXICO,T,KBFI,KELP,43,1,0.0,0.0,15.0,34.883720930232556
2018-02-06,MEXICO,T,KBFI,KELP,59,1,0.0,0.0,16.0,27.11864406779661
2018-02-13,MEXICO,T,KBFI,KELP,48,1,0.0,0.0,9.0,18.75
2018-02-20,MEXICO,T,KBFI,KELP,46,1,0.0,0.0,19.0,41.30434782608695
2018-02-27,MEXICO,T,KBFI,KELP,43,1,0.0,0.0,16.0,37.2093023255814
2018-03-06,MEXICO,T,KBFI,KELP,65,1,0.0,0.0,20.0,30.76923076923077
2018-03-13,MEXICO,T,KBFI,KELP,58,1,0.0,0.0,14.0,24.137931034482758
2018-03-20,MEXICO,T,KBFI,KELP,66,1,0.0,0.0,23.0,34.84848484848485
2018-03-27,MEXICO,T,KBFI,KELP,56,1,0.0,0.0,18.0,32.142857142857146
2018-04-03,MEXICO,T,KBFI,KELP,40,1,0.0,0.0,8.0,20.0
2018-04-03,MEXICO,T,KBFI,KIWA,5,1,0.0,0.0,1.0,20.0
2018-04-10,MEXICO,T,KBFI,KELP,36,1,0.0,0.0,13.0,36.11111111111111
2018-04-17,MEXICO,T,KBFI,KELP,30,1,0.0,0.0,12.0,40.0
2018-04-24,MEXICO,T,KBFI,KELP,53,1,0.0,0.0,20.0,37.735849056603776
2018-05-01,MEXICO,T,KBFI,KELP,39,1,0.0,0.0,10.0,25.64102564102564
2018-05-08,MEXICO,T,KBFI,KELP,45,1,0.0,0.0,17.0,37.77777777777778
2018-05-15,MEXICO,T,KBFI,KELP,40,1,0.0,0.0,13.0,32.5
2018-05-22,MEXICO,T,KBFI,KELP,39,1,0.0,0.0,9.0,23.076923076923077
2018-07-02,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,1.0,100.0
2018-07-20,MEXICO,T,KBFI,KBRO,1,1,0.0,0.0,0.0,0.0
2018-10-02,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2018-10-09,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2018-10-23,MEXICO,T,KBFI,KIWA,1,1,0.0,0.0,0.0,0.0
2010-10-02,MEXICO,T,KIWA,KBFI,7,1,0.0,0.0,0.0,0.0
2010-10-09,MEXICO,T,KIWA,KBFI,11,1,0.0,0.0,0.0,0.0
2010-10-16,MEXICO,T,KIWA,KBFI,22,1,0.0,0.0,0.0,0.0
2010-12-11,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,4.0,100.0
2011-02-26,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2011-03-02,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,0.0,0.0
2011-03-10,MEXICO,T,KOAK,KBFI,3,1,0.0,0.0,0.0,0.0
2011-03-30,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,0.0,0.0
2011-04-06,MEXICO,T,KIWA,KBFI,8,1,0.0,0.0,0.0,0.0
2011-04-13,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2011-04-20,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2011-05-04,MEXICO,T,KIWA,KBFI,23,1,0.0,0.0,8.0,34.78260869565217
2011-05-07,MEXICO,T,KIWA,KBFI,24,1,0.0,0.0,3.0,12.5
2011-05-14,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2011-05-18,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2011-05-21,MEXICO,T,KIWA,KBFI,28,1,0.0,0.0,4.0,14.285714285714285
2011-05-25,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2011-05-28,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,3.0,30.0
2011-06-01,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,0.0,0.0
2011-06-11,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,4.0,40.0
2011-06-15,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2011-06-18,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,0.0,0.0
2011-06-22,MEXICO,T,KIWA,KBFI,22,1,0.0,0.0,1.0,4.545454545454546
2011-06-25,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,0.0,0.0
2011-06-29,MEXICO,T,KIWA,KBFI,7,1,0.0,0.0,1.0,14.285714285714285
2011-07-02,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,1.0,33.33333333333333
2011-07-16,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,0.0,0.0
2011-07-23,MEXICO,T,KIWA,KBFI,8,1,0.0,0.0,3.0,37.5
2011-09-03,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2011-09-17,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2011-10-05,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,3.0,60.0
2011-10-08,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,3.0,60.0
2011-10-12,MEXICO,T,KIWA,KBFI,16,1,0.0,0.0,0.0,0.0
2011-10-15,MEXICO,T,KIWA,KBFI,17,1,0.0,0.0,5.0,29.411764705882355
2011-10-19,MEXICO,T,KIWA,KBFI,14,1,0.0,0.0,0.0,0.0
2011-10-26,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,4.0,40.0
2011-10-29,MEXICO,T,KIWA,KBFI,18,1,0.0,0.0,1.0,5.555555555555555
2011-11-02,MEXICO,T,KIWA,KBFI,41,1,0.0,0.0,7.0,17.073170731707318
2011-11-25,MEXICO,T,KLRD,KBFI,1,1,0.0,0.0,0.0,0.0
2012-01-28,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,1.0,50.0
2012-02-15,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-02-29,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-03-07,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,6.0,100.0
2012-03-21,MEXICO,T,KIWA,KBFI,21,1,0.0,0.0,8.0,38.095238095238095
2012-03-28,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-04-18,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,2.0,100.0
2012-05-02,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2012-05-09,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2012-05-23,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-06-06,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,4.0,100.0
2012-06-13,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,4.0,100.0
2012-06-16,MEXICO,T,KHRL,KBFI,2,1,0.0,0.0,2.0,100.0
2012-07-02,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,2.0,100.0
2012-07-24,MEXICO,T,KSAN,KBFI,1,1,0.0,0.0,1.0,100.0
2012-08-01,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-08-08,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-08-22,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-08-29,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-09-05,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2012-09-12,MEXICO,T,KIWA,KBFI,2,1,0.0,0.0,0.0,0.0
2012-09-19,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2012-10-03,MEXICO,T,KIWA,KBFI,9,1,0.0,0.0,7.0,77.77777777777779
2012-10-11,MEXICO,T,KIWA,KBFI,5,1,0.0,0.0,2.0,40.0
2012-10-17,MEXICO,T,KIWA,KBFI,24,1,0.0,0.0,1.0,4.166666666666666
2012-10-24,MEXICO,T,KIWA,KBFI,19,1,0.0,0.0,8.0,42.10526315789473
2012-10-31,MEXICO,T,KIWA,KBFI,10,1,0.0,0.0,2.0,20.0
2012-11-13,MEXICO,T,KOAK,KBFI,5,1,0.0,0.0,2.0,40.0
2012-11-14,MEXICO,T,KIWA,KBFI,8,1,0.0,0.0,2.0,25.0
2012-11-21,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,3.0,75.0
2012-11-28,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2012-12-01,MEXICO,T,KHRL,KBFI,1,1,0.0,0.0,1.0,100.0
2012-12-05,MEXICO,T,KIWA,KBFI,7,1,0.0,0.0,3.0,42.857142857142854
2013-01-09,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,0.0,0.0
2013-02-13,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,1.0,100.0
2013-02-27,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
2013-03-06,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,3.0,100.0
2013-03-20,MEXICO,T,KIWA,KBFI,3,1,0.0,0.0,3.0,100.0
2013-03-27,MEXICO,T,KIWA,KBFI,6,1,0.0,0.0,6.0,100.0
2013-03-29,MEXICO,T,KSAT,KBFI,1,1,0.0,0.0,1.0,100.0
2013-04-03,MEXICO,T,KIWA,KBFI,4,1,0.0,0.0,0.0,0.0
2013-04-10,MEXICO,T,KIWA,KBFI,1,1,0.0,0.0,0.0,0.0
