CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KBFI
MARSHALL ISLANDS,1.1344170797835532e-06,0.0
MARTINIQUE,7.373711018593096e-06,0.0
MAURITANIA,7.260269310614741e-05,6.0414443079525545e-05
MEXIC,5.672085398917766e-07,0.0
MEXICO,0.3221965717915849,0.5520067664176249
MICRONESIA,5.672085398917766e-07,0.0
MOLDOVA,3.9704597792424365e-05,0.0005437299877157299
MONGOLIA,2.2688341595671065e-05,2.013814769317518e-05
MONTENEGRO,7.940919558484873e-06,0.0
MOROCCO,4.707830881101746e-05,8.055259077270072e-05
MOZAMBIQUE,7.373711018593096e-06,0.0
MYANMAR,2.836042699458883e-06,0.0
NAMBIA,1.1344170797835532e-06,0.0
NAMIBIA,2.836042699458883e-06,0.0
NEPAL,0.0010340211682227088,0.004833155446362043
NETHERLANDS,1.8717881816428628e-05,2.013814769317518e-05
NEW ZEALAND,5.728806252906944e-05,0.0
NICARAGUA,0.010594888316638495,0.006021306160259379
NIGER,0.00013783167519370172,0.00014096703385222626
NIGERIA,0.0006681716599925129,0.00048331554463620436
NORWAY,1.7016256196753299e-06,0.0
OMAN,1.7016256196753299e-06,0.0
PAKISTAN,0.0005388481128971878,0.0013895321908290875
PALAU,2.836042699458883e-06,0.0
PALESTINE,1.4180213497294415e-05,0.0
PALESTINIAN,2.2688341595671065e-06,0.0
PANAMA,7.373711018593097e-05,2.013814769317518e-05
PAPUA NEW GUINEA,5.672085398917766e-07,2.013814769317518e-05
PARAGUAY,1.1911379337727308e-05,4.027629538635036e-05
PERU,0.0008218851743031844,0.00167146625853354
PHILIPPINES,0.00024163083799389682,0.0004027629538635036
POLAND,7.260269310614741e-05,4.027629538635036e-05
PORTUGAL,4.764551735090923e-05,6.0414443079525545e-05
PUERTO RICO,5.672085398917766e-07,0.0
QATAR,5.672085398917766e-06,4.027629538635036e-05
ROMANIA,0.0002257489988769271,0.0007048351692611314
RUSSIA,0.0002036278658211478,0.0013492558954427373
RWANDA,3.289809531372304e-05,6.0414443079525545e-05
SAMOA,1.3613004957402639e-05,0.0001006907384658759
SAUDI ARABIA,2.836042699458883e-05,2.013814769317518e-05
SENEGAL,0.0004889337613867115,0.0007048351692611314
SERBIA,1.531463057707797e-05,0.0
SERRA LEONE,2.6658801374913502e-05,2.013814769317518e-05
SIERRA LEONE,0.00024673571485292283,0.0003222103630908029
SINGAPORE,5.672085398917766e-06,0.0
SLOVAKIA,1.0209753718051979e-05,0.0
SLOVENIA,3.4032512393506597e-06,2.013814769317518e-05
SOMALIA,0.001508207507572234,0.003101274744748978
SOUTH AFRICA,2.212113305577929e-05,4.027629538635036e-05
SOUTH KOREA,4.821272589080101e-05,0.0002013814769317518
SOUTH SUDAN,0.00018490998400471918,4.027629538635036e-05
SPAIN,5.048156005036812e-05,4.027629538635036e-05
SRI LANKA,0.00024049642091411328,0.0005235918400225548
ST VINCENT,2.2688341595671065e-06,0.0
