Fiscal Year,Annual Departures,Annual Pickup Missions,Annual Arrivals,Annual Removals,Annual Transfers,Annual Total
2011,,,,,,
2012,,,,,,
2013,531.0,15.0,456.0,449.0,538.0,987.0
2014,4195.0,101.0,5163.0,3165.0,6193.0,9358.0
2015,2842.0,30.0,610.0,1302.0,2150.0,3452.0
2016,2872.0,39.0,673.0,390.0,3155.0,3545.0
2017,3603.0,33.0,442.0,558.0,3487.0,4045.0
2018,3205.0,41.0,778.0,1056.0,2927.0,3983.0
