,MissionYear,R-T,air2_Country,AlienMasterID,MissionID
1,2010,T,USA,2442,172
3,2011,T,USA,10528,711
7,2012,T,USA,18019,819
6,2012,T,Guatemala,135,2
12,2013,T,USA,14872,726
11,2013,T,Guatemala,129,1
16,2014,T,USA,14712,783
19,2015,T,USA,6407,450
20,2015,T,Mexico,60,1
22,2016,T,USA,8904,545
24,2017,T,USA,8044,502
28,2018,T,USA,10296,542
