CountryOfCitizenship,Nationality as percent of dataset,Nationality as percent of KCSG
MALTA,5.771589351417647e-07,0.0
MARSHAL ISLANDS,2.3086357405670588e-06,0.0
MARSHALL ISLANDS,1.1543178702835294e-06,0.0
MARTINIQUE,7.503066156842941e-06,0.0
MAURITANIA,7.387634369814588e-05,1.1152001784320285e-05
MEXICO,0.32760868624197387,0.559819337571094
MICRONESIA,5.771589351417647e-07,0.0
MOLDOVA,4.0401125459923525e-05,1.1152001784320285e-05
MONGOLIA,2.250919847052882e-05,0.0
MONTENEGRO,8.080225091984706e-06,0.0
MOROCCO,4.790419161676647e-05,1.1152001784320285e-05
MOZAMBIQUE,7.503066156842941e-06,0.0
MYANMAR,2.8857946757088232e-06,1.1152001784320285e-05
NAMBIA,1.1543178702835294e-06,0.0
NAMIBIA,2.8857946757088232e-06,0.0
NEPAL,0.0010510064208931534,0.0018177762908442065
NETHERLANDS,1.9046244859678235e-05,1.1152001784320285e-05
NEW ZEALAND,5.829305244931823e-05,1.1152001784320285e-05
NICARAGUA,0.010779597431642739,0.005531392885022862
NIGER,0.0001402496212394488,6.691201070592172e-05
NIGERIA,0.0006798932255969988,0.0011152001784320285
NORWAY,1.731476805425294e-06,0.0
OMAN,1.731476805425294e-06,0.0
PAKISTAN,0.0005483009883846764,0.0005576000892160142
PALAU,2.8857946757088232e-06,0.0
PALESTINE,1.6737609119111174e-05,0.0
PANAMA,7.445350263328764e-05,1.1152001784320285e-05
PAPUA NEW GUINEA,5.771589351417647e-07,0.0
PARAGUAY,1.2120337637977058e-05,0.0
PERU,0.0008357261380852753,0.000702576112412178
PHILIPPINES,0.00024529254743525,6.691201070592172e-05
POLAND,7.387634369814588e-05,2.230400356864057e-05
PORTUGAL,4.848135055190823e-05,1.1152001784320285e-05
PUERTO RICO,5.771589351417647e-07,0.0
QATAR,5.7715893514176465e-06,0.0
ROMANIA,0.00022970925618642234,0.00018958403033344484
RUSSIA,0.0002072000577158935,0.00014497602319616372
RWANDA,3.347521823822235e-05,3.345600535296086e-05
SAMOA,1.3851814443402353e-05,0.0
