"Date"|"Flight"|"Departure"|"STD"|"Arrival"|"STA"|"Aircraft"|"Status"|"Duration"
"12 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"09:30 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h52m"
"12 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h56m"
"11 Feb"|" WAL408"|"Guatemala City(GUA/MGGT)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed"|"02h14m"
"11 Feb"|" WAL7O8"|"Guatemala City(GUA/MGGT)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"02h23m"
"11 Feb"|" WAL708"|"Guatemala City(GUA/MGGT)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 13:53 CST"|"02h18m"
"11 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"10:35 EST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N804WA)"|"Landed"|"04h20m"
"11 Feb"|" WAL708"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 "|"Landed"|"02h06m"
"11 Feb"|" WAL408"|"Columbus, GA(CSG/KCSG)"|"08:05 EST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed 09:15 EST"|"01h14m"
"11 Feb"|" WAL9807"|"San Antonio, TX(SAT/KSAT)"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"11 Feb"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"05:25 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"00h46m"
"11 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"05:25 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N804WA)"|"Landed"|"01h26m"
"10 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 22:40 EST"|"02h08m"
"10 Feb"|" WAL212"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"02h03m"
"10 Feb"|" WAL213"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 21:15 EST"|"02h01m"
"10 Feb"|" WAL408"|"La Mesa(SAP/MHLM)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed"|"01h54m"
"10 Feb"|" WAL708"|"Brownsville, TX(BRO/KBRO)"|"14:40 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"-"
"10 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"14:00 EST"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 "|"Landed"|"01h43m"
"10 Feb"|" WAL212"|"Miami, FL(MIA/KMIA)"|"-"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 (N808WA)"|"Landed 16:40 AST"|"01h38m"
"10 Feb"|" WAL708"|"Columbus, GA(CSG/KCSG)"|"12:15 EST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"02h15m"
"10 Feb"|" WAL408"|"Houston, TX(IAH/KIAH)"|"11:10 CST"|"La Mesa(SAP/MHLM)"|"-"|"MD83 (N804WA)"|"Landed"|"02h16m"
"10 Feb"|" WAL608"|"Guatemala City(GUA/MGGT)"|"11:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 13:01 CST"|"02h37m"
"10 Feb"|" WAL408"|"Columbus, GA(CSG/KCSG)"|"09:05 EST"|"Houston, TX(IAH/KIAH)"|"-"|"MD83 (N804WA)"|"Landed 09:31 CST"|"01h41m"
"10 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"-"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"-"
"10 Feb"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"08:00 CST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 "|"Landed"|"01h35m"
"10 Feb"|" WAL9807"|"-"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 14:24 CST"|"06h32m"
"10 Feb"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N806WA)"|"Landed"|"02h03m"
"10 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"06:25 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N804WA)"|"Landed"|"01h23m"
"10 Feb"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"05:25 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"-"
"9 Feb"|" WAL212"|"Punta Cana(PUJ/MDPC)"|"17:00 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 18:05 EST"|"02h12m"
"9 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"14:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 17:06 EST"|"02h08m"
"9 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"11:30 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N808WA)"|"Landed"|"01h44m"
"9 Feb"|" WAL202"|"Miami, FL(MIA/KMIA)"|"-"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed 12:15 AST"|"01h45m"
"9 Feb"|" WAL102"|"Georgetown(GCM/MWCR)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 10:08 EST"|"01h04m"
"9 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h48m"
"8 Feb"|" WAL511"|"Miami, FL(MIA/KMIA)"|"-"|"Georgetown(GCM/MWCR)"|"-"|"MD83 (N808WA)"|"Landed 20:46 EST"|"01h04m"
"8 Feb"|" WAL115"|"Miami, FL(MIA/KMIA)"|"19:30 EST"|"Georgetown(GCM/MWCR)"|"-"|"MD83 "|"Landed"|"01h06m"
"8 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"19:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 21:09 EST"|"02h05m"
"8 Feb"|" WAL1212"|"San Juan(SJU/TJSJ)"|"-"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"-"
"8 Feb"|" WAL9211"|"Punta Cana(PUJ/MDPC)"|"-"|"San Juan(SJU/TJSJ)"|"-"|"MD83 (N805WA)"|"Landed"|"-"
"8 Feb"|" WAL9801"|"Miami, FL(OPF/KOPF)"|"14:00 EST"|"Miami, FL(OPF/KOPF)"|"-"|"MD83 (N801WA)"|"Landed 19:18 EST"|"00h54m"
"8 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"10:30 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h53m"
"7 Feb"|" WAL211"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 20:59 EST"|"01h46m"
"7 Feb"|" WAL212"|"Santo Domingo(SDQ/MDSD)"|"19:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"01h56m"
"7 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"14:00 EST"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 (N808WA)"|"Landed 17:10 AST"|"01h55m"
"7 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"14:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 17:35 EST"|"01h57m"
"7 Feb"|" WAL708"|"Guatemala City(GUA/MGGT)"|"12:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"02h39m"
"7 Feb"|" WAL608"|"La Mesa(SAP/MHLM)"|"11:30 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 16:15 CST"|"03h28m"
"7 Feb"|" WAL9807"|"-"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 13:45 CST"|"-"
"7 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h58m"
"7 Feb"|" WAL608"|"Alexandria, LA(AEX/KAEX)"|"07:40 CST"|"La Mesa(SAP/MHLM)"|"-"|"MD83 (N806WA)"|"Landed"|"02h30m"
"7 Feb"|" WAL708"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 "|"Landed"|"02h03m"
"7 Feb"|" WAL9807"|"San Antonio, TX(SAT/KSAT)"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"7 Feb"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"05:25 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"01h02m"
"7 Feb"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"05:25 CST"|"Alexandria, LA(AEX/KAEX)"|"-"|"MD83 (N806WA)"|"Landed"|"00h50m"
"6 Feb"|" WAL888"|"Brownsville, TX(BRO/KBRO)"|"14:40 CST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed"|"02h03m"
"6 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"14:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 15:58 EST"|"02h02m"
"6 Feb"|" WAL9807"|"-"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 15:05 CST"|"-"
"6 Feb"|" WAL888"|"Alexandria, LA(AEX/KAEX)"|"12:05 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N808WA)"|"Landed"|"01h19m"
"6 Feb"|" WAL708"|"San Salvador(SAL/MSLP)"|"12:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"03h03m"
"6 Feb"|" WAL608"|"Guatemala City(GUA/MGGT)"|"11:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 14:59 CST"|"02h33m"
"6 Feb"|" WAL888"|"Columbus, GA(CSG/KCSG)"|"10:40 EST"|"Alexandria, LA(AEX/KAEX)"|"-"|"MD83 (N808WA)"|"Landed"|"01h22m"
"6 Feb"|" WAL708"|"Laredo, TX(LRD/KLRD)"|"08:10 CST"|"San Salvador(SAL/MSLP)"|"-"|"MD83 "|"Landed"|"02h32m"
"6 Feb"|" WAL212"|"Miami, FL(MIA/KMIA)"|"-"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed 12:08 AST"|"01h54m"
"6 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h56m"
"6 Feb"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 "|"Landed"|"02h03m"
"6 Feb"|" WAL888"|"Miami, FL(MIA/KMIA)"|"08:00 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N808WA)"|"Landed"|"01h21m"
"6 Feb"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"06:15 CST"|"Laredo, TX(LRD/KLRD)"|"-"|"MD83 "|"Landed"|"00h39m"
"6 Feb"|" WAL9807"|"San Antonio, TX(SAT/KSAT)"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"6 Feb"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"-"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"-"
"5 Feb"|" WAL201"|"-"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 18:20 EST"|"-"
"5 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"16:00 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"02h02m"
"5 Feb"|" WAL212"|"Punta Cana(PUJ/MDPC)"|"16:00 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 18:29 EST"|"01h56m"
"5 Feb"|" WAL408"|"Guatemala City(GUA/MGGT)"|"12:10 CST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed"|"02h01m"
"5 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"09:30 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h49m"
"5 Feb"|" WAL408"|"Houston, TX(IAH/KIAH)"|"08:20 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N804WA)"|"Landed"|"02h30m"
"5 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N808WA)"|"Landed"|"01h46m"
"5 Feb"|" WAL408"|"Alexandria, LA(AEX/KAEX)"|"06:20 CST"|"Houston, TX(IAH/KIAH)"|"-"|"MD83 (N804WA)"|"Landed 07:14 CST"|"00h41m"
"4 Feb"|" WAL9807"|"Brownsville, TX(BRO/KBRO)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 16:21 CST"|"00h00m"
"4 Feb"|" WAL608"|"Guatemala City(GUA/MGGT)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 14:32 CST"|"00h00m"
"4 Feb"|" WAL771"|"Camaguey(CMW/MUCM)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 15:38 EST"|"00h52m"
"4 Feb"|" WAL408"|"Guatemala City(GUA/MGGT)"|"-"|"Alexandria, LA(AEX/KAEX)"|"-"|"MD83 (N804WA)"|"Landed"|"02h21m"
"4 Feb"|" WAL770"|"Miami, FL(MIA/KMIA)"|"10:45 EST"|"Camaguey(CMW/MUCM)"|"-"|"MD83 (N808WA)"|"Landed"|"00h50m"
"4 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"10:35 EST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N804WA)"|"Landed"|"04h26m"
"4 Feb"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N806WA)"|"Landed"|"02h08m"
"4 Feb"|" WAL408"|"Columbus, GA(CSG/KCSG)"|"08:05 EST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed"|"01h20m"
"4 Feb"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"-"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"-"
"4 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"05:25 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N804WA)"|"Landed 07:09 EST"|"01h20m"
"3 Feb"|" WAL212"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 21:24 EST"|"01h55m"
"3 Feb"|" WAL408"|"La Mesa(SAP/MHLM)"|"15:00 CST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed 18:05 EST"|"01h53m"
"3 Feb"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 14:58 CST"|"-"
"3 Feb"|" WAL211"|"Miami, FL(MIA/KMIA)"|"14:00 EST"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 "|"Landed"|"01h41m"
"3 Feb"|" WAL210"|"Miami, FL(MIA/KMIA)"|"-"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 (N808WA)"|"Landed 16:53 AST"|"01h41m"
"3 Feb"|" WAL608"|"Columbus, GA(CSG/KCSG)"|"12:15 EST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"02h06m"
"3 Feb"|" WAL408"|"Houston, TX(IAH/KIAH)"|"11:10 CST"|"La Mesa(SAP/MHLM)"|"-"|"MD83 (N804WA)"|"Landed"|"02h19m"
"3 Feb"|" WAL408"|"Columbus, GA(CSG/KCSG)"|"09:05 EST"|"Houston, TX(IAH/KIAH)"|"-"|"MD83 (N804WA)"|"Landed 10:23 CST"|"01h34m"
"3 Feb"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 16:32 EST"|"07h11m"
"3 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h49m"
"3 Feb"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"08:00 CST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N806WA)"|"Landed"|"01h39m"
"3 Feb"|" WAL408"|"Miami, FL(MIA/KMIA)"|"06:25 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 (N804WA)"|"Landed"|"01h15m"
"2 Feb"|" WAL210"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 21:42 EST"|"01h55m"
"2 Feb"|" WAL211"|"Santo Domingo(SDQ/MDSD)"|"19:15 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"02h03m"
"2 Feb"|" WAL210"|"Miami, FL(MIA/KMIA)"|"14:00 EST"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 (N808WA)"|"Landed 17:10 AST"|"01h38m"
"2 Feb"|" WAL9601"|"Georgetown(GCM/MWCR)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 11:53 EST"|"01h10m"
"2 Feb"|" WAL201"|"Miami, FL(MIA/KMIA)"|"09:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h49m"
"1 Feb"|" WAL9807"|"San Antonio, TX(SAT/KSAT)"|"-"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"1 Feb"|" WAL211"|"Santo Domingo(SDQ/MDSD)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed"|"02h04m"
"1 Feb"|" WAL210"|"Miami, FL(MIA/KMIA)"|"09:30 EST"|"Santo Domingo(SDQ/MDSD)"|"-"|"MD83 (N805WA)"|"Landed 12:32 AST"|"01h45m"
"31 Jan"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"18:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed 19:11 EST"|"02h12m"
"31 Jan"|" WAL9600"|"Miami, FL(MIA/KMIA)"|"16:30 EST"|"Georgetown(GCM/MWCR)"|"-"|"MD83 "|"Landed"|"01h10m"
"31 Jan"|" WAL9107"|"Miami, FL(MIA/KMIA)"|"-"|"Georgetown(GCM/MWCR)"|"-"|"MD83 (N808WA)"|"Landed 17:52 EST"|"01h09m"
"31 Jan"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"14:35 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 15:46 CST"|"00h44m"
"31 Jan"|" WAL9201"|"San Juan(SJU/TJSJ)"|"16:30 AST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"00h28m"
"31 Jan"|" WAL408"|"Havana(HAV/MUHA)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed 15:51 EST"|"00h39m"
"31 Jan"|" WAL1201"|"Punta Cana(PUJ/MDPC)"|"14:30 AST"|"San Juan(SJU/TJSJ)"|"-"|"MD83 "|"Landed"|"00h25m"
"31 Jan"|" WAL608"|"La Mesa(SAP/MHLM)"|"11:01 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"03h02m"
"31 Jan"|" WAL408"|"Miami, FL(MIA/KMIA)"|"11:00 EST"|"Havana(HAV/MUHA)"|"-"|"MD83 (N804WA)"|"Landed"|"00h52m"
"31 Jan"|" WAL202"|"Miami, FL(MIA/KMIA)"|"-"|"San Juan(SJU/TJSJ)"|"-"|"MD83 (N805WA)"|"Landed 15:00 AST"|"03h48m"
"31 Jan"|" WAL201"|"Miami, FL(MIA/KMIA)"|"10:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h47m"
"31 Jan"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"07:30 CST"|"La Mesa(SAP/MHLM)"|"-"|"MD83 "|"Landed"|"02h04m"
"31 Jan"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"05:20 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"00h48m"
"30 Jan"|" WAL888"|"Brownsville, TX(BRO/KBRO)"|"14:40 CST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"02h09m"
"30 Jan"|" WAL888"|"Alexandria, LA(AEX/KAEX)"|"12:30 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"01h14m"
"30 Jan"|" WAL9807"|"-"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 15:02 CST"|"-"
"30 Jan"|" WAL708"|"San Salvador(SAL/MSLP)"|"12:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"02h47m"
"30 Jan"|" WAL608"|"Guatemala City(GUA/MGGT)"|"11:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 14:58 CST"|"02h27m"
"30 Jan"|" WAL888"|"Columbus, GA(CSG/KCSG)"|"10:40 EST"|"Alexandria, LA(AEX/KAEX)"|"-"|"MD83 "|"Landed"|"01h17m"
"30 Jan"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed"|"-"
"30 Jan"|" WAL201"|"Miami, FL(MIA/KMIA)"|"10:00 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 "|"Landed"|"01h49m"
"30 Jan"|" WAL608"|"Brownsville, TX(BRO/KBRO)"|"-"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 (N806WA)"|"Landed"|"-"
"30 Jan"|" WAL708"|"Laredo, TX(LRD/KLRD)"|"08:10 CST"|"San Salvador(SAL/MSLP)"|"-"|"MD83 "|"Landed"|"02h39m"
"30 Jan"|" WAL9107"|"-"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 18:20 EST"|"09h23m"
"30 Jan"|" WAL888"|"Miami, FL(MIA/KMIA)"|"08:00 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 "|"Landed"|"01h23m"
"30 Jan"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"06:15 CST"|"Laredo, TX(LRD/KLRD)"|"-"|"MD83 "|"Landed"|"00h38m"
"30 Jan"|" WAL9807"|"San Antonio, TX(SAT/KSAT)"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"30 Jan"|" WAL608"|"San Antonio, TX(SAT/KSAT)"|"-"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 (N806WA)"|"Landed"|"-"
"28 Jan"|" WAL888"|"Guatemala City(GUA/MGGT)"|"13:10 CST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"01h59m"
"28 Jan"|" WAL9807"|"-"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N807TR)"|"Landed 15:01 CST"|"-"
"28 Jan"|" WAL202"|"Punta Cana(PUJ/MDPC)"|"14:30 AST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N805WA)"|"Landed"|"02h10m"
"28 Jan"|" WAL708"|"Guatemala City(GUA/MGGT)"|"11:00 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"02h34m"
"28 Jan"|" WAL9107"|"-"|"-"|"-"|"-"|"MD83 (N808WA)"|"Landed"|"-"
"28 Jan"|" WAL888"|"Miami, FL(MIA/KMIA)"|"10:35 EST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 "|"Landed"|"04h29m"
"28 Jan"|" WAL201"|"Miami, FL(MIA/KMIA)"|"10:30 EST"|"Punta Cana(PUJ/MDPC)"|"-"|"MD83 (N805WA)"|"Landed"|"01h40m"
"28 Jan"|" WAL9807"|"-"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"28 Jan"|" WAL708"|"Brownsville, TX(BRO/KBRO)"|"07:35 CST"|"Guatemala City(GUA/MGGT)"|"-"|"MD83 "|"Landed"|"02h03m"
"28 Jan"|" WAL888"|"Columbus, GA(CSG/KCSG)"|"08:05 EST"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 "|"Landed"|"01h18m"
"28 Jan"|" WAL9807"|"-"|"-"|"-"|"-"|"MD83 (N807TR)"|"Landed"|"-"
"28 Jan"|" WAL708"|"San Antonio, TX(SAT/KSAT)"|"05:25 CST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"00h42m"
"28 Jan"|" WAL9107"|"-"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N808WA)"|"Landed 09:50 EST"|"03h59m"
"28 Jan"|" WAL888"|"Miami, FL(MIA/KMIA)"|"05:25 EST"|"Columbus, GA(CSG/KCSG)"|"-"|"MD83 "|"Landed"|"01h23m"
"27 Jan"|" WAL408"|"La Mesa(SAP/MHLM)"|"-"|"Miami, FL(MIA/KMIA)"|"-"|"MD83 (N804WA)"|"Landed 19:24 EST"|"01h46m"
"27 Jan"|" WAL708"|"Brownsville, TX(BRO/KBRO)"|"14:40 CST"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 "|"Landed"|"00h45m"
"27 Jan"|" WAL608"|"San Salvador(SAL/MSLP)"|"-"|"San Antonio, TX(SAT/KSAT)"|"-"|"MD83 (N806WA)"|"Landed 14:08 CST"|"-"
"27 Jan"|" WAL708"|"Columbus, GA(CSG/KCSG)"|"12:15 EST"|"Brownsville, TX(BRO/KBRO)"|"-"|"MD83 "|"Landed"|"02h04m"
"27 Jan"|" WAL408"|"Houston, TX(IAH/KIAH)"|"-"|"La Mesa(SAP/MHLM)"|"-"|"MD83 (N804WA)"|"Landed"|"-"
