Date,Flight count,Flight number,Tail number,Operator,Owner,Previous Airport,Next Airport,From NWDC - Boarded Plane,From Plane - Boarded Bus to NWDC
"Monday, July 13, 2020",72,SWQ3503,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,13,0
"Monday, July 20, 2020",73,SWQ3501,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,20,1
"Monday, July 27, 2020",74,SWQ3502,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,31,0
"Monday, August 3, 2020",75,SWQ3502,N627SW,iAero Airways ,"""Swiftflight""",KLAS,KELP,24,0
"Monday, August 10, 2020",76,SWQ3502,N625SW,iAero Airways ,"""Swiftflight""",KLAS,KELP,45,0
"Tuesday, August 18, 2020",77,SWQ3505,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,23,2
"Week of Aug 24th - NO FLIGHT - there was a flight from Phoenix to Las Vegas to El Paso, as usual ... it just didn't fly to Yakima.",,,,,,,,0,0
"Tuesday, September 1, 2020",78,SWQ3508,N624XA,iAero Airways ,"""Swiftflight""",KLAS,KELP,46,2
"Tuesday, September 8, 2020",79,SWQ3505,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,27,0
"Tuesday, September 15, 2020",80,SWQ2505,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,36,0
"Tuesday, September 22, 2020",81,SWQ3506,N531AU,iAero Airways ,"""Swiftflight""",KLAS,KELP,21,1
"Tuesday, September 29, 2020",82,SWQ3505,N285XA,iAero Airways ,"""Swiftflight""",KLAS,KELP,0,0
"Tuesday, October 6, 2020",83,SWQ3505,N440US,iAero Airways ,"""Swiftflight""",KLAS,KELP,28,0
