ICAOCode,LatitudeDecimalDegrees,LongitudeDecimalDegrees
KLAW,34.567778000000004,-98.416389
KMWA,37.755,-89.011111
KNYL,32.656667,-114.60611100000001
KPSM,43.078056,-70.82333299999999
KRFD,42.195278,-89.097222
KSDM,32.572222,-116.980278
KTOL,41.586806,-83.807833
KTWF,42.481667,-114.487778
KYKM,46.568056,-120.54416699999999
MHSC,14.3825,-87.621111
OMDW,24.888278,55.160378
ORBI,33.2625,44.234444
OYSN,15.476389000000001,44.219722
RJBB,34.434166999999995,135.232778
SAEZ,-34.822222,-58.535833
SPJC,-12.021944,-77.11444399999999
SYCJ,6.498333000000001,-58.253889
TXKF,32.364167,-64.678611
UGTB,41.6692,44.9547
VGHS,23.842778,90.40055600000001
FLKK,-15.331667000000001,28.434167
FWKI,-13.789167,33.780833
KABQ,35.039333,-106.610778
VTBS,13.6925,100.75
DBBB,6.357,2.384
FEFF,4.398,18.519000000000002
FNLU,-8.857999999999999,13.231
KPVD,41.724,-71.428
FVRG,-17.931806,31.092847
GOBD,14.671111,-17.066944
