,AirportCode,AirportName,Longitude,Latitude
186470,KHST,Homestead ARB Airport,-80.384,25.488000000000003
189494,DNMM,Murtala Muhammed International Airport,3.321,6.577000000000001
189495,GLRB,Roberts International Airport,-10.362,6.234
189505,DIAP,Port Bouet Airport,-3.926,5.26
189516,DGAA,Kotoka International Airport,-0.168,5.603
189569,GVAC,Amílcar Cabral International Airport,-22.949,16.741
189579,HKJK,Jomo Kenyatta International Airport,36.925833000000004,-1.318611
189581,HRYR,Kigali International Airport,30.139,-1.969
189582,HSSJ,Juba Airport,31.601,4.872
189583,LWSK,Skopje Alexander the Great Airport,21.621,41.96100000000001
189585,UTDD,Dushanbe Airport,68.825,38.543
211814,ZBAA,Beijing Capital International Airport,116.584,40.08
221878,OYSN,Sana'a International Airport,44.219722,15.476389000000001
264957,TXKF,L.F. Wade International International Airport,-64.678611,32.364167
266391,LYBE,Belgrade Nikola Tesla Airport,20.309,44.81800000000001
266392,LYPG,Podgorica Airport,19.252,42.358999999999995
266394,LRBS,Bâneasa International Airport,26.101999999999997,44.503
266396,LHBP,Budapest Liszt Ferenc international Airport,19.256,47.437
271991,FZAA,Ndjili International Airport,15.444,-4.386
271993,HAAB,Addis Ababa Bole International Airport,38.8,8.977
274046,TTPP,Piarco International Airport,-61.336999999999996,10.595
274751,EGGW,London Luton Airport,-0.368,51.873999999999995
274754,LLBG,Ben Gurion International Airport,34.876999999999995,32.009
287821,GUCY,Conakry Airport,-13.611960999999999,9.576889
287824,FKYS,Yaoundé Nsimalen International Airport,11.553333,3.7225
287825,DRRN,Diori Hamani International Airport,2.184,13.481
287826,GABS,Senou Airport,-7.95,12.533
292794,SYCJ,Cheddi Jagan International Airport,-58.253889,6.4983330000000015
304985,SLLP,El Alto International Airport ,-68.192,-16.512999999999998
304987,SPJC,Jorge Chávez International Airport ,-77.11444399999998,-12.021944
308390,EPWA,Warsaw Chopin Airport,20.967,52.166000000000004
308393,UUEE,Sheremetyevo International Airport,37.415,55.972
317569,OLBA,Beirut Rafic Hariri International Airport,35.48900000000001,33.813
348313,UWKD,Kazan International Airport,49.277,55.608000000000004
370443,VCBI,Bandaranaike International Colombo Airport,79.884,7.181
473627,LZIB,M. R. Štefánik Airport,17.212,48.17
483991,MYNN,Lynden Pindling International Airport,-77.46600000000002,25.039
681893,KRFD,Chicago Rockford International Airport,-89.097222,42.195278
702647,MZBZ,Philip S. W. Goldson International Airport,-88.30799999999998,17.539
803047,KLIT,Adams Field,-92.22399999999999,34.729
813025,SLVR,Viru Viru International Airport,-63.135,-17.645
893567,TVSV,E. T. Joshua Airport,-61.21100000000001,13.144
893571,TDPD,Melville Hall Airport,-61.3,15.547
910081,KBNA,Nashville International Airport,-86.678,36.124
917826,KLAW,Lawton Fort Sill Regional Airport,-98.416389,34.567778000000004
922118,KNTD,Point Mugu Naval Air Station (Naval Base Ventura Co),-119.12100000000001,34.12
965398,MHSC,Coronel Enrique Soto Cano Air Base,-87.621111,14.3825
1001405,KGFK,Grand Forks International Airport,-97.176,47.949
1009055,FKKD,Douala International Airport,9.719,4.006
1009057,FOOL,Libreville International Airport,9.412,0.45799999999999996
1047532,FLKK,Kenneth Kaunda International/Lusaka Airport,28.434167,-15.331667000000001
1047534,FWKI,Lilongwe - Kamuzu International Airport,33.780833,-13.789167
1047535,HTDA,Julius Nyerere International Airport,39.203,-6.877999999999999
1067612,LKPR,Ruzyn-¢ International Airport,14.26,50.101000000000006
1067614,UKBB,Boryspil International Airport,30.895,50.345
1082127,LTBA,Atatürk International Airport ,28.820999999999998,40.977
1082128,UTTT,Toshkent Xalqaro,69.282,41.257
1116502,HSSS,Khartoum International Airport,32.553000000000004,15.589
1116506,HUEN,Entebbe International Airport,32.443000000000005,0.042
1150277,ZSFZ,Fuzhou Changle International Airport,119.662,25.933000000000003
1154699,FTTJ,N'Djamena International Airport,15.034,12.134
1179555,KBWI,Baltimore/Washington International Thurgood Marshall Airport,-76.668,39.175
1181877,KBLV,Mid America St Louis/Scott AFB,-89.835,38.545
1188096,OJAM,Amman Civil Airport,35.991,31.971999999999998
1196443,VVTS,Tan So'n Nhat International Airport,106.662,10.82
1196444,PKMJ,Marshall Islands International Airport,171.27200000000005,7.065
1196445,VDPP,Phnom Penh International Airport,104.844,11.546
1204361,SAEZ,Ezeiza International Airport,-58.535833,-34.822222
1204368,SUMU,Carrasco International Airport,-56.03,-34.838
1204370,SPJC,Jorge Chavez International Airport,-77.11444399999998,-12.021944
1205548,LFPB,Le Bourget International Airport,2.441,48.968999999999994
1229256,RPLL,Ninoy Aquino International Airport,121.01899999999999,14.509
1229262,RCTP,Taiwan Taoyuan International Airport,121.23200000000001,25.08
1233981,VGHS,Dhaka Shahjalal International Airport,90.40055600000001,23.842778
1234008,VNKT,Tribhuvan International Airport,85.359,27.695999999999998
1234012,VIDP,Indira Gandhi International Airport,77.10300000000002,28.566
1242922,TKPK,Robert L. Bradshaw International Airport,-62.718999999999994,17.311
1242923,TBPB,Grantley Adams International Airport,-59.492,13.074000000000002
1242925,TVSC,Canouan Airport,-61.342,12.699000000000002
1249719,DXXX,Lomé–Tokoin Airport,1.254,6.166
1249721,FGSL,Malabo Santa Isabel Airport,8.709,3.755
1258147,UUWW,Vnukovo International Airport,37.260999999999996,55.591
1258154,EYVI,Vilnius International Airport,25.287778,54.63694399999999
1305537,YSSY,Sydney Kingsford Smith Airport,151.17700000000005,-33.946
1305538,NZWN,Wellington International Airport,174.805,-41.327
1305539,NFTF,Fua'amotu International Airport,-175.15,-21.241
1351765,GBYD,Banjul International Airport,-16.652,13.338
1353824,GQNO,Nouakchott-Oumtounsy International Airport,-15.969722,18.31
1358430,KMDW,Chicago Midway International Airport,-87.75200000000002,41.786
1371474,MPTO,Panama International Airport,-79.383,9.071
1384004,HCMM,Aden Adde International Airport,45.305,2.0140000000000002
1385936,LIRA,Ciampino Airport,12.595,41.799
1385937,LEMD,Adolfo Suarez Madrid-Barajas Airport,-3.5610000000000004,40.472
1385940,LQSA,Sarajevo International Airport,18.331,43.824
1400400,FVHA,Harare International Airport,31.093000000000004,-17.932000000000006
1408673,GOOY,Léopold Sédar Senghor International Airport,-17.49,14.739
1410319,KMHR,Sacramento Mather Airport,-121.29700000000001,38.554
1419334,TGPY,Grenada International Airport,-61.786,12.004000000000001
1425743,GFLL,Lungi International Airport,-13.195,8.616
1428554,SMJP,Johan Adolf Pengel International Airport,-55.188,5.452999999999999
1428987,ORBI,Baghdad International Airport,44.234444,33.2625
1428995,KKBL,Hamid Karzai International Airport,,
1456712,DAAG,Houari Boumediene Airport,3.215,36.691
1499006,OAKB,Kabul International Airport,69.212,34.566
1511029,TAPA,V.C. Bird International Airport,-61.792,17.137
1511323,KCLE,Cleveland Hopkins International Airport,-81.85,41.412
1514777,GVNP,Praia International Airport,-23.4939,14.9242
1529099,DFFD,Ouagadougou Airport,-1.5119999999999998,12.353
1539520,VYYY,Yangon International Airport,96.133,16.907
1552856,FALA,Lanseria Airport,27.926,-25.938000000000002
1568699,PHNL,Honolulu International Airport,-157.92700000000005,21.316
1568712,OPRN,Islamabad International Airport,73.09899999999998,33.616
1575068,TLPL,Hewanorra International Airport,-60.953,13.732999999999999
1580272,NSFA,Faleolo International Airport,-172.00799999999995,-13.83
1591748,OMDW,Dubai International Airport,55.160378,24.888278
1595301,EGSS,London Heathrow Airport,0.235,51.885
1619756,VTBS,Suvarnabhumi Airport,100.75,13.6925
1630542,KPDX,Portland International Airport,-122.59700000000001,45.589
1637056,GMMN,Mohammed V International Airport,-7.587999999999999,33.368
1681003,FCBB,Maya-Maya Airport,15.253,-4.252
1681005,FYWH,Hosea Kutako International Airport,17.4625,-22.486667
1681476,HBBA,Bujumbura International Airport,29.318,-3.324
1690873,SBCF,Tancredo Neves International Airport,-43.968999999999994,-19.634
1717682,SBBR,Brasilia International Airport,-47.913000000000004,-15.862
